"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Campsis_ott1069509",1,0,25,2,3,0,1
"Cannabis_ott84008",41,16,24,7,95,0,7
"Capsella_ott833648",13,10,52,41,41,11,3
"Carex_ott8151",461,7,3926,3444,1247,0,0
"Carpobrotus_ott973287",0,0,2,2,7,0,0
"Chelidonium_?genus_in_kingdom_Archaeplastida?_ott957281",4,3,14,6,9,0,2
"Chenopodium_ott892400",50,17,289,244,371,4,2
"Cirsium_ott70338",107,16,310,253,303,0,0
"Clintonia_ott512520",1,2,0,0,0,0,1
"Commelina_ott865574",2,1,7,3,32,0,0
"Conium_ott1001044",3,0,150,148,0,0,0
"MRCA_of_taxa_in_Crataegus_ott842028",10,8,1138,75,106,0,0
"Cynosurus_ott603860",5,2,11,11,14,0,0
"Delairea_ott1004957",2,0,2,1,1,0,0
"Dioscorea_ott216462",91,49,57,47,620,0,1
"MRCA_of_taxa_in_Dryopteris_ott41618",3,9,4,3,594,0,1
"Echinochloa_ott911853",27,23,156,159,243,0,1
"Ellisia_?genus_in_kingdom_Archaeplastida?_ott1052573",1,0,1,0,0,0,0
"Epilobieae_ott5747162_MRCA_of_taxa_in_Epilobium_ott139464",128,2,99,25,145,0,0
"Loliinae_ott107346_MRCA_of_taxa_in_Festuca_ott105596",300,13,219,158,1253,0,0
"MRCA_of_taxa_in_Frangula_ott714689",34,0,4,0,45,0,3
"Gleditsia_ott677309",61,7,13,0,15,0,1
"Glyceria_ott1019667",76,4,52,46,14,0,0
"Gnaphalium_ott464144",3,0,25,17,15,0,0
"Gypsophila_ott28652",33,4,40,19,28,0,2
"Halymenia_ott733207",2,7,1,1,0,0,124
"Hedera_?genus_in_kingdom_Archaeplastida?_ott524077",9,2,72,67,279,0,0
"Helenium_ott661684",2,0,153,148,7,0,0
"Helianthus_ott515718",196,90,253,221,22,2,15
"Hordeum_ott493874",74,40,720,720,288,1,69
"Hydrocharis_?genus_in_kingdom_Archaeplastida?_ott40116",2,0,3,2,2,0,1
"Hydrocotyle_ott2500",52,4,21,12,45,0,0
"Hygrophila_?genus_in_kingdom_Archaeplastida?_ott430387",414,1888,1170,668,14,37,7583
"Impatiens_ott928414",118,10,479,416,321,0,6
"Ipomoea_ott494853",180,95,860,541,312,4,3
"Iris_?genus_in_kingdom_Archaeplastida?_ott229529",20,64,236,151,775,1,3
"Juncus_ott545838",9,1,141,72,103,0,0
"Lactuca_ott515705",56,15,183,200,219,0,7
"Leucojum_ott779385",0,1,5,3,3,0,0
"Liatris_ott509201",3,0,68,56,1,0,0
"Ligustrum_ott597438",37,8,145,128,28,0,1
"Lomentaria_ott209224",2,0,0,0,0,0,52
"Loteae_ott1039849_MRCA_of_taxa_in_Lotus_ott879017",113,5,271,257,281,0,2
"Lupinus_ott878988",78,40,324,261,319,0,1
"Lycopus_?genus_in_kingdom_Archaeplastida?_ott304968",3,1,24,4,41,0,0
"MRCA_of_taxa_in_Lysimachia_ott383201",93,6,156,113,306,0,0
"Lythrum_ott886850",7,3,21,17,4,0,0
"Marrubium_ott82492",2,0,0,0,79,0,0
"Marsilea_ott164371",4,3,2,1,218,0,0
"Medicago_ott1086823",257,82,389,334,71,0,2
"MRCA_of_taxa_in_Mentha_ott55626",16,10,188,134,183,0,0
"Microstegium_ott100202",5,0,5,5,304,0,0
"Mollugo_ott584118",20,4,20,18,2,0,0
"MRCA_of_taxa_in_Morus_ott658501",87,18,210,161,529,9,41
"Muhlenbergia_ott739168",0,0,228,201,336,0,0
"Myosotis_ott82995",209,0,131,127,35,0,0
"Myosoton_ott689113",3,0,3,1,3,0,0
"Najas_?genus_in_kingdom_Archaeplastida?_ott785528",780,2,525,521,107,0,1
"MRCA_of_taxa_in_Nasturtium_ott556233",3,4,23,12,17,0,0
"Nepeta_ott314683",15,2,54,48,51,0,0
"Oenothera_ott277109",20,93,151,110,201,0,0
"Ornithogalum_ott29643",2,0,52,51,133,0,0
"MRCA_of_taxa_in_Parthenocissus_ott329909",1,0,0,0,104,0,0
"Phalaris_ott651214",20,2,110,104,87,0,0
"Phragmites_ott651210",2,6,16,11,233,0,0
"Picea_ott517942",11,24,28,98,671,0,16
"Plantago_ott609811",337,14,443,168,451,0,46
"Pluchea_ott1083098",19,2,115,114,34,0,0
