"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Zizania_ott6052",5,5,11,8,62,0,0
"Zosteraceae_ott637476_MRCA_of_taxa_in_Zostera_ott637473",11,2,80,100,3,0,5
"Undaria_?genus_in_subkingdom_SAR?_ott495530",8,7,34,29,4,0,46
"Achillea_ott828101",35,0,100,96,100,0,0
"Aegopodium_ott626557",0,0,20,18,5,0,0
"Agrostis_ott765663",100,6,100,100,75,0,0
"Alliaria_ott647374",0,2,23,17,14,0,0
"Allium_ott781603",100,100,100,100,100,0,4
"Alnus_ott791135",100,48,100,100,42,0,0
"Alopecurus_ott592847",8,6,55,44,47,0,0
"Alternanthera_ott202139",29,3,19,11,59,0,0
"Amaranthus_ott317808",100,9,100,100,100,0,0
"Ambrosia_ott601709",16,5,23,9,30,0,0
"Ammophila_?genus_in_kingdom_Archaeplastida?_ott345181",13,3,8,8,8,0,100
"Andropogon_ott1040674",3,68,10,4,18,0,0
"Anthriscus_ott105025",2,2,30,23,67,0,0
"Arenaria_?genus_in_kingdom_Archaeplastida?_ott842196",91,3,100,100,100,4,21
"Armoracia_ott309270",0,0,4,1,3,0,0
"Artemisia_ott465444",100,61,100,100,100,1,2
"Arundo_ott659311",1,7,13,7,100,0,0
"Atriplex_ott892390",44,3,100,100,53,0,0
"Barbarea_ott35918",3,2,22,16,8,0,0
"Batis_?genus_in_kingdom_Archaeplastida?_ott532270",3,1,0,0,0,0,11
"Betula_ott267715",25,35,100,100,100,0,7
"Bidens_ott759041",20,62,100,100,100,0,0
"MRCA_of_taxa_in_Boehmeria_ott594987",59,7,100,95,100,0,0
"Brachiaria_ott861075",5,4,11,11,14,0,0
"Butomus_ott1027656",6,4,2,2,3,0,3
"Cabomba_ott10947",5,9,9,5,21,0,1
"Callitriche_ott1080799",41,0,54,40,100,0,1
"Campsis_ott1069509",1,0,25,2,3,0,1
"Cannabis_ott84008",41,16,24,7,95,0,7
"Capsella_ott833648",13,10,52,41,41,11,3
"Carex_ott8151",100,7,100,100,100,0,0
"Carpobrotus_ott973287",0,0,2,2,7,0,0
"Chelidonium_?genus_in_kingdom_Archaeplastida?_ott957281",4,3,14,6,9,0,2
"Chenopodium_ott892400",50,17,100,100,100,4,2
"Cirsium_ott70338",100,16,100,100,100,0,0
"Clintonia_ott512520",1,2,0,0,0,0,1
"Commelina_ott865574",2,1,7,3,32,0,0
"Conium_ott1001044",3,0,100,100,0,0,0
"MRCA_of_taxa_in_Crataegus_ott842028",10,8,100,75,100,0,0
"Cynosurus_ott603860",5,2,11,11,14,0,0
"Delairea_ott1004957",2,0,2,1,1,0,0
"Dioscorea_ott216462",91,49,57,47,100,0,1
"MRCA_of_taxa_in_Dryopteris_ott41618",3,9,4,3,100,0,1
"Echinochloa_ott911853",27,23,100,100,100,0,1
"Ellisia_?genus_in_kingdom_Archaeplastida?_ott1052573",1,0,1,0,0,0,0
