speciesgenus,Genus,Family,order,class,phylum,domain
Crucibulum spinosum,Crucibulum,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Ostrea edulis,Ostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,Eukaryota
Pinctada margaritifera,Pinctada,Pteriidae,Pterioida,Bivalvia,Mollusca,Eukaryota
Thecacera pennigera,Thecacera,Polyceridae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Adula,Adula,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Limnoperna fortunei,Limnoperna,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Nuttallia obscurata,Nuttallia,Psammobiidae,Cardiida,Bivalvia,Mollusca,Eukaryota
Rattus norvegicus,Rattus,Muridae,Rodentia,Mammalia,Chordata,Eukaryota
Zalophus californianus,Zalophus,Otariidae,Carnivora,Mammalia,Chordata,Eukaryota
Lyrodus,Lyrodus,Teredinidae,Myida,Bivalvia,Mollusca,Eukaryota
Musculista senhousia,Arcuatula,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Mytilus galloprovincialis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Gemma gemma,Gemma,Veneridae,Venerida,Bivalvia,Mollusca,Eukaryota
Mercenaria mercenaria,Mercenaria,Veneridae,Venerida,Bivalvia,Mollusca,Eukaryota
Mytella charruana,Mytella,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Perna viridis,Perna,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Chama pacifica,Chama,Chamidae,Venerida,Bivalvia,Mollusca,Eukaryota
Chama macerophylla,Chama,Chamidae,Venerida,Bivalvia,Mollusca,Eukaryota
Crassostrea virginica,Crassostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,Eukaryota
Crassostrea ariakensis,Crassostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,Eukaryota
Lasmigona subviridis,Lasmigona,Unionidae,Unionida,Bivalvia,Mollusca,Eukaryota
Ostrea,Ostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,Eukaryota
Pisidium amnicum,Pisidium,Sphaeriidae,Venerida,Bivalvia,Mollusca,Eukaryota
Pisidium henslowanum,Pisidium,Sphaeriidae,Venerida,Bivalvia,Mollusca,Eukaryota
Pisidium,Pisidium,Sphaeriidae,Venerida,Bivalvia,Mollusca,Eukaryota
Pisidium supinum,Pisidium,Sphaeriidae,Venerida,Bivalvia,Mollusca,Eukaryota
Sphaerium corneum,Sphaerium,Sphaeriidae,Venerida,Bivalvia,Mollusca,Eukaryota
Tapes,Tapes,Veneridae,Venerida,Bivalvia,Mollusca,Eukaryota
Tapes,Tapes,Veneridae,Venerida,Bivalvia,Mollusca,Eukaryota
Tridacna,Tridacna,Cardiidae,Cardiida,Bivalvia,Mollusca,Eukaryota
Venerupis,Venerupis,Veneridae,Venerida,Bivalvia,Mollusca,Eukaryota
Littorina littorea,Littorina,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Littorina saxatilis,Littorina,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Rapana venosa,Rapana,Muricidae,Neogastropoda,Gastropoda,Mollusca,Eukaryota
Batillaria attramentaria,Batillaria,Batillariidae,NA,Gastropoda,Mollusca,Eukaryota
Boonea,Boonea,Pyramidellidae,NA,Gastropoda,Mollusca,Eukaryota
Busycotypus canaliculatus,Busycotypus,Melongenidae,Neogastropoda,Gastropoda,Mollusca,Eukaryota
Ocinebrellus inornatus,Ocinebrellus,Muricidae,Neogastropoda,Gastropoda,Mollusca,Eukaryota
Myosotella myosotis,Myosotella,Ellobiidae,Ellobiida,Gastropoda,Mollusca,Eukaryota
Potamothrix bavaricus,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Bithynia tentaculata,Bithynia,Bithyniidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Cipangopaludina chinensis,Cipangopaludina,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,Eukaryota
Cipangopaludina chinensis,Cipangopaludina,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,Eukaryota
Cipangopaludina japonica,Cipangopaludina,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,Eukaryota
Crepidula,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Elimia virginica,Elimia,Pleuroceridae,NA,Gastropoda,Mollusca,Eukaryota
Gillia altilis,Gillia,Lithoglyphidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Hermissenda crassicornis,Hermissenda,Glaucidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Nassarius,Nassarius,Nassariidae,Neogastropoda,Gastropoda,Mollusca,Eukaryota
Philine auriformis,Philine,Philinidae,Cephalaspidea,Gastropoda,Mollusca,Eukaryota
Physella acuta,Physella,Physidae,NA,Gastropoda,Mollusca,Eukaryota
Pomacea canaliculata,Pomacea,Ampullariidae,Architaenioglossa,Gastropoda,Mollusca,Eukaryota
Radix auricularia,Radix,Lymnaeidae,NA,Gastropoda,Mollusca,Eukaryota
Tarebia granifera,Tarebia,Thiaridae,NA,Gastropoda,Mollusca,Eukaryota
Valvata piscinalis,Valvata,Valvatidae,NA,Gastropoda,Mollusca,Eukaryota
Viviparus,Viviparus,Viviparidae,Architaenioglossa,Gastropoda,Mollusca,Eukaryota
Cuthona,Cuthona,Cuthonidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Cumanotus,Cumanotus,Cumanotidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Dendronotus frondosus,Dendronotus,Dendronotidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Eubranchus,Eubranchus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Eubranchus rupium,Eubranchus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Glossodoris,Glossodoris,Chromodorididae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Okenia,Okenia,Goniodorididae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Anguillicola crassus,Anguillicola,Anguillicolidae,Rhabditida,Chromadorea,Nematoda,Eukaryota
Sporobolus alterniflorus,Sporobolus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Sporobolus anglicus,Sporobolus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Sporobolus densiflorus,Sporobolus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Sporobolus,Sporobolus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Zizania latifolia,Zizania,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Zostera japonica,Zostera,Zosteraceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Undaria pinnatifida,Undaria,Alariaceae,Laminariales,Phaeophyceae,NA,Eukaryota
Achillea ptarmica,Achillea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Aegopodium podagraria,Aegopodium,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Eukaryota
Agrostis gigantea,Agrostis,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Agrostis stolonifera,Agrostis,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Alliaria petiolata,Alliaria,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Allium schoenoprasum,Allium,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,Eukaryota
Alnus glutinosa,Alnus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Eukaryota
Alopecurus carolinianus,Alopecurus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Alopecurus geniculatus,Alopecurus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Alopecurus pratensis,Alopecurus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Alternanthera philoxeroides,Alternanthera,Amaranthaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Amaranthus blitoides,Amaranthus,Amaranthaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Ambrosia psilostachya,Ambrosia,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Ammophila arenaria,Ammophila,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Andropogon virginicus,Andropogon,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Anthriscus caucalis,Anthriscus,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Eukaryota
Arenaria serpyllifolia,Arenaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Armoracia rusticana,Armoracia,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Artemisia biennis,Artemisia,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Arundo donax,Arundo,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Atriplex patula,Atriplex,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Barbarea orthoceras,Barbarea,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Barbarea vulgaris,Barbarea,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Batis maritima,Batis,Bataceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Betula pendula,Betula,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Eukaryota
Bidens tripartita,Bidens,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Boehmeria cylindrica,Boehmeria,Urticaceae,Rosales,Magnoliopsida,Streptophyta,Eukaryota
Brachiaria,Brachiaria,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Butomus umbellatus,Butomus,Butomaceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Cabomba caroliniana,Cabomba,Cabombaceae,Nymphaeales,Magnoliopsida,Streptophyta,Eukaryota
Callitriche stagnalis,Callitriche,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Campsis radicans,Campsis,Bignoniaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Cannabis sativa,Cannabis,Cannabaceae,Rosales,Magnoliopsida,Streptophyta,Eukaryota
Capsella bursa-pastoris,Capsella,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Carex acutiformis,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Carex bushii,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Carex crawei,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Carex disticha,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Carex flacca,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Carex ovalis,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Carpobrotus chilensis,Carpobrotus,Aizoaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Chelidonium majus,Chelidonium,Papaveraceae,Ranunculales,Magnoliopsida,Streptophyta,Eukaryota
Chenopodium album,Chenopodium,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Chenopodium,Chenopodium,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Cirsium palustre,Cirsium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Clintonia borealis,Clintonia,Liliaceae,Liliales,Magnoliopsida,Streptophyta,Eukaryota
Commelina communis,Commelina,Commelinaceae,Commelinales,Magnoliopsida,Streptophyta,Eukaryota
Conium maculatum,Conium,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Eukaryota
Crataegus douglasii,Crataegus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Eukaryota
Cynosurus cristatus,Cynosurus,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Delairea odorata,Delairea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Dioscorea oppositifolia,Dioscorea,Dioscoreaceae,Dioscoreales,Magnoliopsida,Streptophyta,Eukaryota
Dryopteris,Dryopteris,Dryopteridaceae,Polypodiales,Polypodiopsida,Streptophyta,Eukaryota
Echinochloa crus-galli,Echinochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Echinochloa muricata,Echinochloa,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Ellisia nyctelea,Ellisia,Hydrophyllaceae,Boraginales,Magnoliopsida,Streptophyta,Eukaryota
Epilobium hirsutum,Epilobium,Onagraceae,Myrtales,Magnoliopsida,Streptophyta,Eukaryota
Epilobium parviflorum,Epilobium,Onagraceae,Myrtales,Magnoliopsida,Streptophyta,Eukaryota
Festuca rubra,Festuca,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Frangula alnus,Frangula,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,Eukaryota
Gleditsia triacanthos,Gleditsia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Eukaryota
Glyceria maxima,Glyceria,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Gnaphalium uliginosum,Gnaphalium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Gypsophila paniculata,Gypsophila,Caryophyllaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Halymenia durvillei,Halymenia,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta,Eukaryota
Hedera helix,Hedera,Araliaceae,Apiales,Magnoliopsida,Streptophyta,Eukaryota
Helenium flexuosum,Helenium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Helianthus annuus,Helianthus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Hordeum jubatum,Hordeum,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Hydrocharis morsus-ranae,Hydrocharis,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Hydrocotyle umbellata,Hydrocotyle,Araliaceae,Apiales,Magnoliopsida,Streptophyta,Eukaryota
Hygrophila polysperma,Hygrophila,Acanthaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Impatiens capensis,Impatiens,Balsaminaceae,Ericales,Magnoliopsida,Streptophyta,Eukaryota
Impatiens glandulifera,Impatiens,Balsaminaceae,Ericales,Magnoliopsida,Streptophyta,Eukaryota
Imperata cylindrica,Imperata,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Ipomoea hederacea,Ipomoea,Convolvulaceae,Solanales,Magnoliopsida,Streptophyta,Eukaryota
Iris pseudacorus,Iris,Iridaceae,Asparagales,Magnoliopsida,Streptophyta,Eukaryota
Juncus articulatus,Juncus,Juncaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Juncus compressus,Juncus,Juncaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Juncus gerardii,Juncus,Juncaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Juncus inflexus,Juncus,Juncaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Lactuca serriola,Lactuca,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Lepidium densiflorum,Lepidium,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Eukaryota
Leucojum aestivum,Leucojum,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,Eukaryota
Liatris pycnostachya,Liatris,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Ligustrum vulgare,Ligustrum,Oleaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Lomentaria hakodatensis,Lomentaria,Lomentariaceae,Rhodymeniales,Florideophyceae,Rhodophyta,Eukaryota
Lotus corniculatus,Lotus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Eukaryota
Lupinus polyphyllus,Lupinus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Eukaryota
Lycopus asper,Lycopus,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Lycopus europaeus,Lycopus,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Lysimachia nummularia,Lysimachia,Primulaceae,Ericales,Magnoliopsida,Streptophyta,Eukaryota
Lysimachia vulgaris,Lysimachia,Primulaceae,Ericales,Magnoliopsida,Streptophyta,Eukaryota
Lythrum salicaria,Lythrum,Lythraceae,Myrtales,Magnoliopsida,Streptophyta,Eukaryota
Macfadyena,Macfadyena,Bignoniaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Marrubium vulgare,Marrubium,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Marsilea quadrifolia,Marsilea,Marsileaceae,Salviniales,Polypodiopsida,Streptophyta,Eukaryota
Medicago lupulina,Medicago,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Eukaryota
Mentha aquatica,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Mentha spicata,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Mentha x gracilis,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Mentha x piperita,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Microstegium vimineum,Microstegium,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Mollugo verticillata,Mollugo,Molluginaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Morus alba,Morus,Moraceae,Rosales,Magnoliopsida,Streptophyta,Eukaryota
Muhlenbergia racemosa,Muhlenbergia,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Myosotis arvensis,Myosotis,Boraginaceae,Boraginales,Magnoliopsida,Streptophyta,Eukaryota
