speciesgenus,Genus,Family,order,class,phylum,domain
Didemnum,Didemnum,Didemnidae,Aplousobranchia,Ascidiacea,Chordata,Eukaryota
Polyandrocarpa zorritensis,Polyandrocarpa,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Ascidia sydneiensis,Ascidia,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Didemnum candidum,Didemnum,Didemnidae,Aplousobranchia,Ascidiacea,Chordata,Eukaryota
Phallusia nigra,Phallusia,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Botrylloides diegensis,Botrylloides,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Botrylloides,Botrylloides,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Botryllus,Botryllus,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Corella inflata,Corella,Corellidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Corella willmeriana,Corella,Corellidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Microcosmus squamiger,Microcosmus,Pyuridae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Styela canopus,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Symplegma brakenhielmi,Symplegma,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Sarotherodon melanotheron,Sarotherodon,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Tilapia,Tilapia,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Acanthogobius flavimanus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Eukaryota
Cephalopholis argus,Cephalopholis,Serranidae,Perciformes,Actinopteri,Chordata,Eukaryota
Lutjanus kasmira,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,Chordata,Eukaryota
Oreochromis aureus,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Tridentiger trigonocephalus,Tridentiger,Gobiidae,Gobiiformes,Actinopteri,Chordata,Eukaryota
Gonodactylaceus falcatus,Gonodactylaceus,Gonodactylidae,Stomatopoda,Malacostraca,Arthropoda,Eukaryota
Lutjanus fulvus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,Chordata,Eukaryota
Zebrasoma velifer,Zebrasoma,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Eukaryota
Acanthurus maculiceps,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Eukaryota
Alosa aestivalis,Alosa,Clupeidae,Clupeiformes,Actinopteri,Chordata,Eukaryota
Alosa pseudoharengus,Alosa,Clupeidae,Clupeiformes,Actinopteri,Chordata,Eukaryota
Ameiurus catus,Ameiurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,Eukaryota
Anchoa lyolepis,Anchoa,Engraulidae,Clupeiformes,Actinopteri,Chordata,Eukaryota
Apeltes quadracus,Apeltes,Gasterosteidae,Perciformes,Actinopteri,Chordata,Eukaryota
Archoplites interruptus,Archoplites,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,Eukaryota
Astronotus ocellatus,Astronotus,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Balistes polylepis,Balistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Eukaryota
Cichla ocellaris,Cichla,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Cichlasoma bimaculatum,Cichlasoma,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Cichlasoma,Cichlasoma,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Cittarium pica,Cittarium,Tegulidae,Trochida,Gastropoda,Mollusca,Eukaryota
Clarias batrachus,Clarias,Clariidae,Siluriformes,Actinopteri,Chordata,Eukaryota
Enneacanthus gloriosus,Enneacanthus,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,Eukaryota
Esox lucius,Esox,Esocidae,Esociformes,Actinopteri,Chordata,Eukaryota
Esox niger,Esox,Esocidae,Esociformes,Actinopteri,Chordata,Eukaryota
Fundulus diaphanus,Fundulus,Fundulidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Hemichromis letourneuxi,Hemichromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Heros severus,Heros,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Hoplosternum littorale,Hoplosternum,Callichthyidae,Siluriformes,Actinopteri,Chordata,Eukaryota
Hypomesus nipponensis,Hypomesus,Osmeridae,Osmeriformes,Actinopteri,Chordata,Eukaryota
Ictalurus punctatus,Ictalurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,Eukaryota
Lepomis humilis,Lepomis,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,Eukaryota
Lepomis microlophus,Lepomis,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,Eukaryota
Leuciscus idus,Leuciscus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Limia vittata,Limia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Limnophila,Limnophila,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Lucania parva,Lucania,Fundulidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Misgurnus anguillicaudatus,Misgurnus,Cobitidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Morone americana,Morone,Moronidae,NA,Actinopteri,Chordata,Eukaryota
Mylocheilus caurinus,Mylocheilus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Notropis buchanani,Notropis,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Noturus insignis,Noturus,Ictaluridae,Siluriformes,Actinopteri,Chordata,Eukaryota
Oncorhynchus kisutch,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Oncorhynchus mykiss irideus,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Oncorhynchus nerka,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Oncorhynchus tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Oreochromis macrochir,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Oreochromis niloticus,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Orthodon microlepidotus,Orthodon,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Osteoglossum bicirrhosum,Osteoglossum,Osteoglossidae,Osteoglossiformes,Actinopteri,Chordata,Eukaryota
Oxydoras niger,Oxydoras,Doradidae,Siluriformes,Actinopteri,Chordata,Eukaryota
Parachromis managuensis,Parachromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Petromyzon marinus,Petromyzon,Petromyzontidae,Petromyzontiformes,Hyperoartia,Chordata,Eukaryota
Phenacobius mirabilis,Phenacobius,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Piaractus brachypomus,Piaractus,Serrasalmidae,Characiformes,Actinopteri,Chordata,Eukaryota
Plecoglossus altivelis,Plecoglossus,Plecoglossidae,Osmeriformes,Actinopteri,Chordata,Eukaryota
Poecilia latipinna,Poecilia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Poecilia vivipara,Poecilia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Proterorhinus semilunaris,Proterorhinus,Gobiidae,Gobiiformes,Actinopteri,Chordata,Eukaryota
Pygocentrus nattereri,Pygocentrus,Serrasalmidae,Characiformes,Actinopteri,Chordata,Eukaryota
Salmo trutta x Salvelinus fontinalis,NA,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Salvelinus fontinalis,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Sander lucioperca,Sander,Percidae,Perciformes,Actinopteri,Chordata,Eukaryota
Tilapia,Tilapia,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Penaeus monodon-type Baculovirus,NA,NA,NA,NA,NA,NA
WSBV,NA,NA,NA,NA,NA,NA
Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Novirhabdovirus sp.,NA,NA,NA,NA,NA,NA
Piscirickettsia salmonis,Piscirickettsia,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
Ranavirus sp.,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes,Nucleocytoviricota,
Renibacterium salmoninarum,Renibacterium,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
Rhabdovirus carpio,Sprivivirus,Rhabdoviridae,Mononegavirales,Monjiviricetes,Negarnaviricota,
