"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Cassiopea andromeda","Cassiopea andromeda[ORGN] AND 18S","Cassiopea andromeda[ORGN] AND  16S","Cassiopea andromeda[ORGN] AND  PITS","Cassiopea andromeda[ORGN] AND  CO1","Cassiopea andromeda[ORGN] AND  COI","Cassiopea andromeda[ORGN] AND  COX1","Cassiopea andromeda[ORGN] AND  FITS","Cassiopea andromeda[ORGN] AND  ITS2","Cassiopea andromeda[ORGN] AND  ITS1","Cassiopea andromeda[ORGN] AND  trnl","Cassiopea andromeda[ORGN] AND  12S"
"Aurelia aurita","Aurelia aurita[ORGN] AND 18S","Aurelia aurita[ORGN] AND  16S","Aurelia aurita[ORGN] AND  PITS","Aurelia aurita[ORGN] AND  CO1","Aurelia aurita[ORGN] AND  COI","Aurelia aurita[ORGN] AND  COX1","Aurelia aurita[ORGN] AND  FITS","Aurelia aurita[ORGN] AND  ITS2","Aurelia aurita[ORGN] AND  ITS1","Aurelia aurita[ORGN] AND  trnl","Aurelia aurita[ORGN] AND  12S"
"Craspedacusta sowerbii","Craspedacusta sowerbii[ORGN] AND 18S","Craspedacusta sowerbii[ORGN] AND  16S","Craspedacusta sowerbii[ORGN] AND  PITS","Craspedacusta sowerbii[ORGN] AND  CO1","Craspedacusta sowerbii[ORGN] AND  COI","Craspedacusta sowerbii[ORGN] AND  COX1","Craspedacusta sowerbii[ORGN] AND  FITS","Craspedacusta sowerbii[ORGN] AND  ITS2","Craspedacusta sowerbii[ORGN] AND  ITS1","Craspedacusta sowerbii[ORGN] AND  trnl","Craspedacusta sowerbii[ORGN] AND  12S"
"Jassa marmorata","Jassa marmorata[ORGN] AND 18S","Jassa marmorata[ORGN] AND  16S","Jassa marmorata[ORGN] AND  PITS","Jassa marmorata[ORGN] AND  CO1","Jassa marmorata[ORGN] AND  COI","Jassa marmorata[ORGN] AND  COX1","Jassa marmorata[ORGN] AND  FITS","Jassa marmorata[ORGN] AND  ITS2","Jassa marmorata[ORGN] AND  ITS1","Jassa marmorata[ORGN] AND  trnl","Jassa marmorata[ORGN] AND  12S"
"Grandidierella japonica","Grandidierella japonica[ORGN] AND 18S","Grandidierella japonica[ORGN] AND  16S","Grandidierella japonica[ORGN] AND  PITS","Grandidierella japonica[ORGN] AND  CO1","Grandidierella japonica[ORGN] AND  COI","Grandidierella japonica[ORGN] AND  COX1","Grandidierella japonica[ORGN] AND  FITS","Grandidierella japonica[ORGN] AND  ITS2","Grandidierella japonica[ORGN] AND  ITS1","Grandidierella japonica[ORGN] AND  trnl","Grandidierella japonica[ORGN] AND  12S"
"Laticorophium baconi","Laticorophium baconi[ORGN] AND 18S","Laticorophium baconi[ORGN] AND  16S","Laticorophium baconi[ORGN] AND  PITS","Laticorophium baconi[ORGN] AND  CO1","Laticorophium baconi[ORGN] AND  COI","Laticorophium baconi[ORGN] AND  COX1","Laticorophium baconi[ORGN] AND  FITS","Laticorophium baconi[ORGN] AND  ITS2","Laticorophium baconi[ORGN] AND  ITS1","Laticorophium baconi[ORGN] AND  trnl","Laticorophium baconi[ORGN] AND  12S"
"Monocorophium acherusicum","Monocorophium acherusicum[ORGN] AND 18S","Monocorophium acherusicum[ORGN] AND  16S","Monocorophium acherusicum[ORGN] AND  PITS","Monocorophium acherusicum[ORGN] AND  CO1","Monocorophium acherusicum[ORGN] AND  COI","Monocorophium acherusicum[ORGN] AND  COX1","Monocorophium acherusicum[ORGN] AND  FITS","Monocorophium acherusicum[ORGN] AND  ITS2","Monocorophium acherusicum[ORGN] AND  ITS1","Monocorophium acherusicum[ORGN] AND  trnl","Monocorophium acherusicum[ORGN] AND  12S"
"Monocorophium insidiosum","Monocorophium insidiosum[ORGN] AND 18S","Monocorophium insidiosum[ORGN] AND  16S","Monocorophium insidiosum[ORGN] AND  PITS","Monocorophium insidiosum[ORGN] AND  CO1","Monocorophium insidiosum[ORGN] AND  COI","Monocorophium insidiosum[ORGN] AND  COX1","Monocorophium insidiosum[ORGN] AND  FITS","Monocorophium insidiosum[ORGN] AND  ITS2","Monocorophium insidiosum[ORGN] AND  ITS1","Monocorophium insidiosum[ORGN] AND  trnl","Monocorophium insidiosum[ORGN] AND  12S"
"Gammarus daiberi","Gammarus daiberi[ORGN] AND 18S","Gammarus daiberi[ORGN] AND  16S","Gammarus daiberi[ORGN] AND  PITS","Gammarus daiberi[ORGN] AND  CO1","Gammarus daiberi[ORGN] AND  COI","Gammarus daiberi[ORGN] AND  COX1","Gammarus daiberi[ORGN] AND  FITS","Gammarus daiberi[ORGN] AND  ITS2","Gammarus daiberi[ORGN] AND  ITS1","Gammarus daiberi[ORGN] AND  trnl","Gammarus daiberi[ORGN] AND  12S"
"Ampelisca abdita","Ampelisca abdita[ORGN] AND 18S","Ampelisca abdita[ORGN] AND  16S","Ampelisca abdita[ORGN] AND  PITS","Ampelisca abdita[ORGN] AND  CO1","Ampelisca abdita[ORGN] AND  COI","Ampelisca abdita[ORGN] AND  COX1","Ampelisca abdita[ORGN] AND  FITS","Ampelisca abdita[ORGN] AND  ITS2","Ampelisca abdita[ORGN] AND  ITS1","Ampelisca abdita[ORGN] AND  trnl","Ampelisca abdita[ORGN] AND  12S"
"Ampithoe valida","Ampithoe valida[ORGN] AND 18S","Ampithoe valida[ORGN] AND  16S","Ampithoe valida[ORGN] AND  PITS","Ampithoe valida[ORGN] AND  CO1","Ampithoe valida[ORGN] AND  COI","Ampithoe valida[ORGN] AND  COX1","Ampithoe valida[ORGN] AND  FITS","Ampithoe valida[ORGN] AND  ITS2","Ampithoe valida[ORGN] AND  ITS1","Ampithoe valida[ORGN] AND  trnl","Ampithoe valida[ORGN] AND  12S"
"Bemlos virgus","Bemlos virgus[ORGN] AND 18S","Bemlos virgus[ORGN] AND  16S","Bemlos virgus[ORGN] AND  PITS","Bemlos virgus[ORGN] AND  CO1","Bemlos virgus[ORGN] AND  COI","Bemlos virgus[ORGN] AND  COX1","Bemlos virgus[ORGN] AND  FITS","Bemlos virgus[ORGN] AND  ITS2","Bemlos virgus[ORGN] AND  ITS1","Bemlos virgus[ORGN] AND  trnl","Bemlos virgus[ORGN] AND  12S"
"Corophium","Corophium[ORGN] AND 18S","Corophium[ORGN] AND  16S","Corophium[ORGN] AND  PITS","Corophium[ORGN] AND  CO1","Corophium[ORGN] AND  COI","Corophium[ORGN] AND  COX1","Corophium[ORGN] AND  FITS","Corophium[ORGN] AND  ITS2","Corophium[ORGN] AND  ITS1","Corophium[ORGN] AND  trnl","Corophium[ORGN] AND  12S"
"Echinogammarus ischnus","Echinogammarus ischnus[ORGN] AND 18S","Echinogammarus ischnus[ORGN] AND  16S","Echinogammarus ischnus[ORGN] AND  PITS","Echinogammarus ischnus[ORGN] AND  CO1","Echinogammarus ischnus[ORGN] AND  COI","Echinogammarus ischnus[ORGN] AND  COX1","Echinogammarus ischnus[ORGN] AND  FITS","Echinogammarus ischnus[ORGN] AND  ITS2","Echinogammarus ischnus[ORGN] AND  ITS1","Echinogammarus ischnus[ORGN] AND  trnl","Echinogammarus ischnus[ORGN] AND  12S"
"Ericthonius brasiliensis","Ericthonius brasiliensis[ORGN] AND 18S","Ericthonius brasiliensis[ORGN] AND  16S","Ericthonius brasiliensis[ORGN] AND  PITS","Ericthonius brasiliensis[ORGN] AND  CO1","Ericthonius brasiliensis[ORGN] AND  COI","Ericthonius brasiliensis[ORGN] AND  COX1","Ericthonius brasiliensis[ORGN] AND  FITS","Ericthonius brasiliensis[ORGN] AND  ITS2","Ericthonius brasiliensis[ORGN] AND  ITS1","Ericthonius brasiliensis[ORGN] AND  trnl","Ericthonius brasiliensis[ORGN] AND  12S"
"Gammarus tigrinus","Gammarus tigrinus[ORGN] AND 18S","Gammarus tigrinus[ORGN] AND  16S","Gammarus tigrinus[ORGN] AND  PITS","Gammarus tigrinus[ORGN] AND  CO1","Gammarus tigrinus[ORGN] AND  COI","Gammarus tigrinus[ORGN] AND  COX1","Gammarus tigrinus[ORGN] AND  FITS","Gammarus tigrinus[ORGN] AND  ITS2","Gammarus tigrinus[ORGN] AND  ITS1","Gammarus tigrinus[ORGN] AND  trnl","Gammarus tigrinus[ORGN] AND  12S"
"Microjassa","Microjassa[ORGN] AND 18S","Microjassa[ORGN] AND  16S","Microjassa[ORGN] AND  PITS","Microjassa[ORGN] AND  CO1","Microjassa[ORGN] AND  COI","Microjassa[ORGN] AND  COX1","Microjassa[ORGN] AND  FITS","Microjassa[ORGN] AND  ITS2","Microjassa[ORGN] AND  ITS1","Microjassa[ORGN] AND  trnl","Microjassa[ORGN] AND  12S"
"Parapleustes","Parapleustes[ORGN] AND 18S","Parapleustes[ORGN] AND  16S","Parapleustes[ORGN] AND  PITS","Parapleustes[ORGN] AND  CO1","Parapleustes[ORGN] AND  COI","Parapleustes[ORGN] AND  COX1","Parapleustes[ORGN] AND  FITS","Parapleustes[ORGN] AND  ITS2","Parapleustes[ORGN] AND  ITS1","Parapleustes[ORGN] AND  trnl","Parapleustes[ORGN] AND  12S"
"Stenothoe","Stenothoe[ORGN] AND 18S","Stenothoe[ORGN] AND  16S","Stenothoe[ORGN] AND  PITS","Stenothoe[ORGN] AND  CO1","Stenothoe[ORGN] AND  COI","Stenothoe[ORGN] AND  COX1","Stenothoe[ORGN] AND  FITS","Stenothoe[ORGN] AND  ITS2","Stenothoe[ORGN] AND  ITS1","Stenothoe[ORGN] AND  trnl","Stenothoe[ORGN] AND  12S"
"Balanus trigonus","Balanus trigonus[ORGN] AND 18S","Balanus trigonus[ORGN] AND  16S","Balanus trigonus[ORGN] AND  PITS","Balanus trigonus[ORGN] AND  CO1","Balanus trigonus[ORGN] AND  COI","Balanus trigonus[ORGN] AND  COX1","Balanus trigonus[ORGN] AND  FITS","Balanus trigonus[ORGN] AND  ITS2","Balanus trigonus[ORGN] AND  ITS1","Balanus trigonus[ORGN] AND  trnl","Balanus trigonus[ORGN] AND  12S"
"Balanus","Balanus[ORGN] AND 18S","Balanus[ORGN] AND  16S","Balanus[ORGN] AND  PITS","Balanus[ORGN] AND  CO1","Balanus[ORGN] AND  COI","Balanus[ORGN] AND  COX1","Balanus[ORGN] AND  FITS","Balanus[ORGN] AND  ITS2","Balanus[ORGN] AND  ITS1","Balanus[ORGN] AND  trnl","Balanus[ORGN] AND  12S"
"Chthamalus proteus","Chthamalus proteus[ORGN] AND 18S","Chthamalus proteus[ORGN] AND  16S","Chthamalus proteus[ORGN] AND  PITS","Chthamalus proteus[ORGN] AND  CO1","Chthamalus proteus[ORGN] AND  COI","Chthamalus proteus[ORGN] AND  COX1","Chthamalus proteus[ORGN] AND  FITS","Chthamalus proteus[ORGN] AND  ITS2","Chthamalus proteus[ORGN] AND  ITS1","Chthamalus proteus[ORGN] AND  trnl","Chthamalus proteus[ORGN] AND  12S"
"Balanus crenatus","Balanus crenatus[ORGN] AND 18S","Balanus crenatus[ORGN] AND  16S","Balanus crenatus[ORGN] AND  PITS","Balanus crenatus[ORGN] AND  CO1","Balanus crenatus[ORGN] AND  COI","Balanus crenatus[ORGN] AND  COX1","Balanus crenatus[ORGN] AND  FITS","Balanus crenatus[ORGN] AND  ITS2","Balanus crenatus[ORGN] AND  ITS1","Balanus crenatus[ORGN] AND  trnl","Balanus crenatus[ORGN] AND  12S"
"Balanus glandula","Balanus glandula[ORGN] AND 18S","Balanus glandula[ORGN] AND  16S","Balanus glandula[ORGN] AND  PITS","Balanus glandula[ORGN] AND  CO1","Balanus glandula[ORGN] AND  COI","Balanus glandula[ORGN] AND  COX1","Balanus glandula[ORGN] AND  FITS","Balanus glandula[ORGN] AND  ITS2","Balanus glandula[ORGN] AND  ITS1","Balanus glandula[ORGN] AND  trnl","Balanus glandula[ORGN] AND  12S"
"Megabalanus coccopoma","Megabalanus coccopoma[ORGN] AND 18S","Megabalanus coccopoma[ORGN] AND  16S","Megabalanus coccopoma[ORGN] AND  PITS","Megabalanus coccopoma[ORGN] AND  CO1","Megabalanus coccopoma[ORGN] AND  COI","Megabalanus coccopoma[ORGN] AND  COX1","Megabalanus coccopoma[ORGN] AND  FITS","Megabalanus coccopoma[ORGN] AND  ITS2","Megabalanus coccopoma[ORGN] AND  ITS1","Megabalanus coccopoma[ORGN] AND  trnl","Megabalanus coccopoma[ORGN] AND  12S"
"Daphnia galeata galeata","Daphnia galeata galeata[ORGN] AND 18S","Daphnia galeata galeata[ORGN] AND  16S","Daphnia galeata galeata[ORGN] AND  PITS","Daphnia galeata galeata[ORGN] AND  CO1","Daphnia galeata galeata[ORGN] AND  COI","Daphnia galeata galeata[ORGN] AND  COX1","Daphnia galeata galeata[ORGN] AND  FITS","Daphnia galeata galeata[ORGN] AND  ITS2","Daphnia galeata galeata[ORGN] AND  ITS1","Daphnia galeata galeata[ORGN] AND  trnl","Daphnia galeata galeata[ORGN] AND  12S"
"Eubosmina coregoni","Eubosmina coregoni[ORGN] AND 18S","Eubosmina coregoni[ORGN] AND  16S","Eubosmina coregoni[ORGN] AND  PITS","Eubosmina coregoni[ORGN] AND  CO1","Eubosmina coregoni[ORGN] AND  COI","Eubosmina coregoni[ORGN] AND  COX1","Eubosmina coregoni[ORGN] AND  FITS","Eubosmina coregoni[ORGN] AND  ITS2","Eubosmina coregoni[ORGN] AND  ITS1","Eubosmina coregoni[ORGN] AND  trnl","Eubosmina coregoni[ORGN] AND  12S"
"Eubosmina maritima","Eubosmina maritima[ORGN] AND 18S","Eubosmina maritima[ORGN] AND  16S","Eubosmina maritima[ORGN] AND  PITS","Eubosmina maritima[ORGN] AND  CO1","Eubosmina maritima[ORGN] AND  COI","Eubosmina maritima[ORGN] AND  COX1","Eubosmina maritima[ORGN] AND  FITS","Eubosmina maritima[ORGN] AND  ITS2","Eubosmina maritima[ORGN] AND  ITS1","Eubosmina maritima[ORGN] AND  trnl","Eubosmina maritima[ORGN] AND  12S"
"Mytilicola orientalis","Mytilicola orientalis[ORGN] AND 18S","Mytilicola orientalis[ORGN] AND  16S","Mytilicola orientalis[ORGN] AND  PITS","Mytilicola orientalis[ORGN] AND  CO1","Mytilicola orientalis[ORGN] AND  COI","Mytilicola orientalis[ORGN] AND  COX1","Mytilicola orientalis[ORGN] AND  FITS","Mytilicola orientalis[ORGN] AND  ITS2","Mytilicola orientalis[ORGN] AND  ITS1","Mytilicola orientalis[ORGN] AND  trnl","Mytilicola orientalis[ORGN] AND  12S"
"Pseudodiaptomus inopinus","Pseudodiaptomus inopinus[ORGN] AND 18S","Pseudodiaptomus inopinus[ORGN] AND  16S","Pseudodiaptomus inopinus[ORGN] AND  PITS","Pseudodiaptomus inopinus[ORGN] AND  CO1","Pseudodiaptomus inopinus[ORGN] AND  COI","Pseudodiaptomus inopinus[ORGN] AND  COX1","Pseudodiaptomus inopinus[ORGN] AND  FITS","Pseudodiaptomus inopinus[ORGN] AND  ITS2","Pseudodiaptomus inopinus[ORGN] AND  ITS1","Pseudodiaptomus inopinus[ORGN] AND  trnl","Pseudodiaptomus inopinus[ORGN] AND  12S"
"Argulus japonicus","Argulus japonicus[ORGN] AND 18S","Argulus japonicus[ORGN] AND  16S","Argulus japonicus[ORGN] AND  PITS","Argulus japonicus[ORGN] AND  CO1","Argulus japonicus[ORGN] AND  COI","Argulus japonicus[ORGN] AND  COX1","Argulus japonicus[ORGN] AND  FITS","Argulus japonicus[ORGN] AND  ITS2","Argulus japonicus[ORGN] AND  ITS1","Argulus japonicus[ORGN] AND  trnl","Argulus japonicus[ORGN] AND  12S"
"Cyclops strenuus","Cyclops strenuus[ORGN] AND 18S","Cyclops strenuus[ORGN] AND  16S","Cyclops strenuus[ORGN] AND  PITS","Cyclops strenuus[ORGN] AND  CO1","Cyclops strenuus[ORGN] AND  COI","Cyclops strenuus[ORGN] AND  COX1","Cyclops strenuus[ORGN] AND  FITS","Cyclops strenuus[ORGN] AND  ITS2","Cyclops strenuus[ORGN] AND  ITS1","Cyclops strenuus[ORGN] AND  trnl","Cyclops strenuus[ORGN] AND  12S"
"Daphnia lumholtzi","Daphnia lumholtzi[ORGN] AND 18S","Daphnia lumholtzi[ORGN] AND  16S","Daphnia lumholtzi[ORGN] AND  PITS","Daphnia lumholtzi[ORGN] AND  CO1","Daphnia lumholtzi[ORGN] AND  COI","Daphnia lumholtzi[ORGN] AND  COX1","Daphnia lumholtzi[ORGN] AND  FITS","Daphnia lumholtzi[ORGN] AND  ITS2","Daphnia lumholtzi[ORGN] AND  ITS1","Daphnia lumholtzi[ORGN] AND  trnl","Daphnia lumholtzi[ORGN] AND  12S"
"Eurytemora affinis","Eurytemora affinis[ORGN] AND 18S","Eurytemora affinis[ORGN] AND  16S","Eurytemora affinis[ORGN] AND  PITS","Eurytemora affinis[ORGN] AND  CO1","Eurytemora affinis[ORGN] AND  COI","Eurytemora affinis[ORGN] AND  COX1","Eurytemora affinis[ORGN] AND  FITS","Eurytemora affinis[ORGN] AND  ITS2","Eurytemora affinis[ORGN] AND  ITS1","Eurytemora affinis[ORGN] AND  trnl","Eurytemora affinis[ORGN] AND  12S"
"Heteropsyllus","Heteropsyllus[ORGN] AND 18S","Heteropsyllus[ORGN] AND  16S","Heteropsyllus[ORGN] AND  PITS","Heteropsyllus[ORGN] AND  CO1","Heteropsyllus[ORGN] AND  COI","Heteropsyllus[ORGN] AND  COX1","Heteropsyllus[ORGN] AND  FITS","Heteropsyllus[ORGN] AND  ITS2","Heteropsyllus[ORGN] AND  ITS1","Heteropsyllus[ORGN] AND  trnl","Heteropsyllus[ORGN] AND  12S"
"Megacyclops viridis","Megacyclops viridis[ORGN] AND 18S","Megacyclops viridis[ORGN] AND  16S","Megacyclops viridis[ORGN] AND  PITS","Megacyclops viridis[ORGN] AND  CO1","Megacyclops viridis[ORGN] AND  COI","Megacyclops viridis[ORGN] AND  COX1","Megacyclops viridis[ORGN] AND  FITS","Megacyclops viridis[ORGN] AND  ITS2","Megacyclops viridis[ORGN] AND  ITS1","Megacyclops viridis[ORGN] AND  trnl","Megacyclops viridis[ORGN] AND  12S"
"Neoergasilus japonicus","Neoergasilus japonicus[ORGN] AND 18S","Neoergasilus japonicus[ORGN] AND  16S","Neoergasilus japonicus[ORGN] AND  PITS","Neoergasilus japonicus[ORGN] AND  CO1","Neoergasilus japonicus[ORGN] AND  COI","Neoergasilus japonicus[ORGN] AND  COX1","Neoergasilus japonicus[ORGN] AND  FITS","Neoergasilus japonicus[ORGN] AND  ITS2","Neoergasilus japonicus[ORGN] AND  ITS1","Neoergasilus japonicus[ORGN] AND  trnl","Neoergasilus japonicus[ORGN] AND  12S"
"Nippoleucon hinumensis","Nippoleucon hinumensis[ORGN] AND 18S","Nippoleucon hinumensis[ORGN] AND  16S","Nippoleucon hinumensis[ORGN] AND  PITS","Nippoleucon hinumensis[ORGN] AND  CO1","Nippoleucon hinumensis[ORGN] AND  COI","Nippoleucon hinumensis[ORGN] AND  COX1","Nippoleucon hinumensis[ORGN] AND  FITS","Nippoleucon hinumensis[ORGN] AND  ITS2","Nippoleucon hinumensis[ORGN] AND  ITS1","Nippoleucon hinumensis[ORGN] AND  trnl","Nippoleucon hinumensis[ORGN] AND  12S"
"Nitokra hibernica","Nitokra hibernica[ORGN] AND 18S","Nitokra hibernica[ORGN] AND  16S","Nitokra hibernica[ORGN] AND  PITS","Nitokra hibernica[ORGN] AND  CO1","Nitokra hibernica[ORGN] AND  COI","Nitokra hibernica[ORGN] AND  COX1","Nitokra hibernica[ORGN] AND  FITS","Nitokra hibernica[ORGN] AND  ITS2","Nitokra hibernica[ORGN] AND  ITS1","Nitokra hibernica[ORGN] AND  trnl","Nitokra hibernica[ORGN] AND  12S"
"Nitokra","Nitokra[ORGN] AND 18S","Nitokra[ORGN] AND  16S","Nitokra[ORGN] AND  PITS","Nitokra[ORGN] AND  CO1","Nitokra[ORGN] AND  COI","Nitokra[ORGN] AND  COX1","Nitokra[ORGN] AND  FITS","Nitokra[ORGN] AND  ITS2","Nitokra[ORGN] AND  ITS1","Nitokra[ORGN] AND  trnl","Nitokra[ORGN] AND  12S"
"Oithona davisae","Oithona davisae[ORGN] AND 18S","Oithona davisae[ORGN] AND  16S","Oithona davisae[ORGN] AND  PITS","Oithona davisae[ORGN] AND  CO1","Oithona davisae[ORGN] AND  COI","Oithona davisae[ORGN] AND  COX1","Oithona davisae[ORGN] AND  FITS","Oithona davisae[ORGN] AND  ITS2","Oithona davisae[ORGN] AND  ITS1","Oithona davisae[ORGN] AND  trnl","Oithona davisae[ORGN] AND  12S"
"Pseudodiaptomus marinus","Pseudodiaptomus marinus[ORGN] AND 18S","Pseudodiaptomus marinus[ORGN] AND  16S","Pseudodiaptomus marinus[ORGN] AND  PITS","Pseudodiaptomus marinus[ORGN] AND  CO1","Pseudodiaptomus marinus[ORGN] AND  COI","Pseudodiaptomus marinus[ORGN] AND  COX1","Pseudodiaptomus marinus[ORGN] AND  FITS","Pseudodiaptomus marinus[ORGN] AND  ITS2","Pseudodiaptomus marinus[ORGN] AND  ITS1","Pseudodiaptomus marinus[ORGN] AND  trnl","Pseudodiaptomus marinus[ORGN] AND  12S"
"Salmincola","Salmincola[ORGN] AND 18S","Salmincola[ORGN] AND  16S","Salmincola[ORGN] AND  PITS","Salmincola[ORGN] AND  CO1","Salmincola[ORGN] AND  COI","Salmincola[ORGN] AND  COX1","Salmincola[ORGN] AND  FITS","Salmincola[ORGN] AND  ITS2","Salmincola[ORGN] AND  ITS1","Salmincola[ORGN] AND  trnl","Salmincola[ORGN] AND  12S"
"Schizopera","Schizopera[ORGN] AND 18S","Schizopera[ORGN] AND  16S","Schizopera[ORGN] AND  PITS","Schizopera[ORGN] AND  CO1","Schizopera[ORGN] AND  COI","Schizopera[ORGN] AND  COX1","Schizopera[ORGN] AND  FITS","Schizopera[ORGN] AND  ITS2","Schizopera[ORGN] AND  ITS1","Schizopera[ORGN] AND  trnl","Schizopera[ORGN] AND  12S"
"Skistodiaptomus pallidus","Skistodiaptomus pallidus[ORGN] AND 18S","Skistodiaptomus pallidus[ORGN] AND  16S","Skistodiaptomus pallidus[ORGN] AND  PITS","Skistodiaptomus pallidus[ORGN] AND  CO1","Skistodiaptomus pallidus[ORGN] AND  COI","Skistodiaptomus pallidus[ORGN] AND  COX1","Skistodiaptomus pallidus[ORGN] AND  FITS","Skistodiaptomus pallidus[ORGN] AND  ITS2","Skistodiaptomus pallidus[ORGN] AND  ITS1","Skistodiaptomus pallidus[ORGN] AND  trnl","Skistodiaptomus pallidus[ORGN] AND  12S"
"Tachidius triangularis","Tachidius triangularis[ORGN] AND 18S","Tachidius triangularis[ORGN] AND  16S","Tachidius triangularis[ORGN] AND  PITS","Tachidius triangularis[ORGN] AND  CO1","Tachidius triangularis[ORGN] AND  COI","Tachidius triangularis[ORGN] AND  COX1","Tachidius triangularis[ORGN] AND  FITS","Tachidius triangularis[ORGN] AND  ITS2","Tachidius triangularis[ORGN] AND  ITS1","Tachidius triangularis[ORGN] AND  trnl","Tachidius triangularis[ORGN] AND  12S"
"Hemigrapsus sanguineus","Hemigrapsus sanguineus[ORGN] AND 18S","Hemigrapsus sanguineus[ORGN] AND  16S","Hemigrapsus sanguineus[ORGN] AND  PITS","Hemigrapsus sanguineus[ORGN] AND  CO1","Hemigrapsus sanguineus[ORGN] AND  COI","Hemigrapsus sanguineus[ORGN] AND  COX1","Hemigrapsus sanguineus[ORGN] AND  FITS","Hemigrapsus sanguineus[ORGN] AND  ITS2","Hemigrapsus sanguineus[ORGN] AND  ITS1","Hemigrapsus sanguineus[ORGN] AND  trnl","Hemigrapsus sanguineus[ORGN] AND  12S"
"Carcinus maenas","Carcinus maenas[ORGN] AND 18S","Carcinus maenas[ORGN] AND  16S","Carcinus maenas[ORGN] AND  PITS","Carcinus maenas[ORGN] AND  CO1","Carcinus maenas[ORGN] AND  COI","Carcinus maenas[ORGN] AND  COX1","Carcinus maenas[ORGN] AND  FITS","Carcinus maenas[ORGN] AND  ITS2","Carcinus maenas[ORGN] AND  ITS1","Carcinus maenas[ORGN] AND  trnl","Carcinus maenas[ORGN] AND  12S"
"Callinectes bocourti","Callinectes bocourti[ORGN] AND 18S","Callinectes bocourti[ORGN] AND  16S","Callinectes bocourti[ORGN] AND  PITS","Callinectes bocourti[ORGN] AND  CO1","Callinectes bocourti[ORGN] AND  COI","Callinectes bocourti[ORGN] AND  COX1","Callinectes bocourti[ORGN] AND  FITS","Callinectes bocourti[ORGN] AND  ITS2","Callinectes bocourti[ORGN] AND  ITS1","Callinectes bocourti[ORGN] AND  trnl","Callinectes bocourti[ORGN] AND  12S"
"Pachygrapsus fakaravensis","Pachygrapsus fakaravensis[ORGN] AND 18S","Pachygrapsus fakaravensis[ORGN] AND  16S","Pachygrapsus fakaravensis[ORGN] AND  PITS","Pachygrapsus fakaravensis[ORGN] AND  CO1","Pachygrapsus fakaravensis[ORGN] AND  COI","Pachygrapsus fakaravensis[ORGN] AND  COX1","Pachygrapsus fakaravensis[ORGN] AND  FITS","Pachygrapsus fakaravensis[ORGN] AND  ITS2","Pachygrapsus fakaravensis[ORGN] AND  ITS1","Pachygrapsus fakaravensis[ORGN] AND  trnl","Pachygrapsus fakaravensis[ORGN] AND  12S"
"Scylla serrata","Scylla serrata[ORGN] AND 18S","Scylla serrata[ORGN] AND  16S","Scylla serrata[ORGN] AND  PITS","Scylla serrata[ORGN] AND  CO1","Scylla serrata[ORGN] AND  COI","Scylla serrata[ORGN] AND  COX1","Scylla serrata[ORGN] AND  FITS","Scylla serrata[ORGN] AND  ITS2","Scylla serrata[ORGN] AND  ITS1","Scylla serrata[ORGN] AND  trnl","Scylla serrata[ORGN] AND  12S"
"Cancer","Cancer[ORGN] AND 18S","Cancer[ORGN] AND  16S","Cancer[ORGN] AND  PITS","Cancer[ORGN] AND  CO1","Cancer[ORGN] AND  COI","Cancer[ORGN] AND  COX1","Cancer[ORGN] AND  FITS","Cancer[ORGN] AND  ITS2","Cancer[ORGN] AND  ITS1","Cancer[ORGN] AND  trnl","Cancer[ORGN] AND  12S"
"Petrolisthes armatus","Petrolisthes armatus[ORGN] AND 18S","Petrolisthes armatus[ORGN] AND  16S","Petrolisthes armatus[ORGN] AND  PITS","Petrolisthes armatus[ORGN] AND  CO1","Petrolisthes armatus[ORGN] AND  COI","Petrolisthes armatus[ORGN] AND  COX1","Petrolisthes armatus[ORGN] AND  FITS","Petrolisthes armatus[ORGN] AND  ITS2","Petrolisthes armatus[ORGN] AND  ITS1","Petrolisthes armatus[ORGN] AND  trnl","Petrolisthes armatus[ORGN] AND  12S"
"Sphaeroma quoianum","Sphaeroma quoianum[ORGN] AND 18S","Sphaeroma quoianum[ORGN] AND  16S","Sphaeroma quoianum[ORGN] AND  PITS","Sphaeroma quoianum[ORGN] AND  CO1","Sphaeroma quoianum[ORGN] AND  COI","Sphaeroma quoianum[ORGN] AND  COX1","Sphaeroma quoianum[ORGN] AND  FITS","Sphaeroma quoianum[ORGN] AND  ITS2","Sphaeroma quoianum[ORGN] AND  ITS1","Sphaeroma quoianum[ORGN] AND  trnl","Sphaeroma quoianum[ORGN] AND  12S"
"Sphaeroma terebrans","Sphaeroma terebrans[ORGN] AND 18S","Sphaeroma terebrans[ORGN] AND  16S","Sphaeroma terebrans[ORGN] AND  PITS","Sphaeroma terebrans[ORGN] AND  CO1","Sphaeroma terebrans[ORGN] AND  COI","Sphaeroma terebrans[ORGN] AND  COX1","Sphaeroma terebrans[ORGN] AND  FITS","Sphaeroma terebrans[ORGN] AND  ITS2","Sphaeroma terebrans[ORGN] AND  ITS1","Sphaeroma terebrans[ORGN] AND  trnl","Sphaeroma terebrans[ORGN] AND  12S"
