"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Crepidula fornicata","Crepidula fornicata[ORGN] AND 18S","Crepidula fornicata[ORGN] AND  16S","Crepidula fornicata[ORGN] AND  PITS","Crepidula fornicata[ORGN] AND  CO1","Crepidula fornicata[ORGN] AND  COI","Crepidula fornicata[ORGN] AND  COX1","Crepidula fornicata[ORGN] AND  FITS","Crepidula fornicata[ORGN] AND  ITS2","Crepidula fornicata[ORGN] AND  ITS1","Crepidula fornicata[ORGN] AND  trnl","Crepidula fornicata[ORGN] AND  12S"
"Mytilopsis leucophaeata","Mytilopsis leucophaeata[ORGN] AND 18S","Mytilopsis leucophaeata[ORGN] AND  16S","Mytilopsis leucophaeata[ORGN] AND  PITS","Mytilopsis leucophaeata[ORGN] AND  CO1","Mytilopsis leucophaeata[ORGN] AND  COI","Mytilopsis leucophaeata[ORGN] AND  COX1","Mytilopsis leucophaeata[ORGN] AND  FITS","Mytilopsis leucophaeata[ORGN] AND  ITS2","Mytilopsis leucophaeata[ORGN] AND  ITS1","Mytilopsis leucophaeata[ORGN] AND  trnl","Mytilopsis leucophaeata[ORGN] AND  12S"
"Dreissena polymorpha","Dreissena polymorpha[ORGN] AND 18S","Dreissena polymorpha[ORGN] AND  16S","Dreissena polymorpha[ORGN] AND  PITS","Dreissena polymorpha[ORGN] AND  CO1","Dreissena polymorpha[ORGN] AND  COI","Dreissena polymorpha[ORGN] AND  COX1","Dreissena polymorpha[ORGN] AND  FITS","Dreissena polymorpha[ORGN] AND  ITS2","Dreissena polymorpha[ORGN] AND  ITS1","Dreissena polymorpha[ORGN] AND  trnl","Dreissena polymorpha[ORGN] AND  12S"
"Crassostrea gigas","Crassostrea gigas[ORGN] AND 18S","Crassostrea gigas[ORGN] AND  16S","Crassostrea gigas[ORGN] AND  PITS","Crassostrea gigas[ORGN] AND  CO1","Crassostrea gigas[ORGN] AND  COI","Crassostrea gigas[ORGN] AND  COX1","Crassostrea gigas[ORGN] AND  FITS","Crassostrea gigas[ORGN] AND  ITS2","Crassostrea gigas[ORGN] AND  ITS1","Crassostrea gigas[ORGN] AND  trnl","Crassostrea gigas[ORGN] AND  12S"
"Petricolaria pholadiformis","Petricolaria pholadiformis[ORGN] AND 18S","Petricolaria pholadiformis[ORGN] AND  16S","Petricolaria pholadiformis[ORGN] AND  PITS","Petricolaria pholadiformis[ORGN] AND  CO1","Petricolaria pholadiformis[ORGN] AND  COI","Petricolaria pholadiformis[ORGN] AND  COX1","Petricolaria pholadiformis[ORGN] AND  FITS","Petricolaria pholadiformis[ORGN] AND  ITS2","Petricolaria pholadiformis[ORGN] AND  ITS1","Petricolaria pholadiformis[ORGN] AND  trnl","Petricolaria pholadiformis[ORGN] AND  12S"
"Corbicula fluminea","Corbicula fluminea[ORGN] AND 18S","Corbicula fluminea[ORGN] AND  16S","Corbicula fluminea[ORGN] AND  PITS","Corbicula fluminea[ORGN] AND  CO1","Corbicula fluminea[ORGN] AND  COI","Corbicula fluminea[ORGN] AND  COX1","Corbicula fluminea[ORGN] AND  FITS","Corbicula fluminea[ORGN] AND  ITS2","Corbicula fluminea[ORGN] AND  ITS1","Corbicula fluminea[ORGN] AND  trnl","Corbicula fluminea[ORGN] AND  12S"
"Dreissena rostriformis bugensis","Dreissena rostriformis bugensis[ORGN] AND 18S","Dreissena rostriformis bugensis[ORGN] AND  16S","Dreissena rostriformis bugensis[ORGN] AND  PITS","Dreissena rostriformis bugensis[ORGN] AND  CO1","Dreissena rostriformis bugensis[ORGN] AND  COI","Dreissena rostriformis bugensis[ORGN] AND  COX1","Dreissena rostriformis bugensis[ORGN] AND  FITS","Dreissena rostriformis bugensis[ORGN] AND  ITS2","Dreissena rostriformis bugensis[ORGN] AND  ITS1","Dreissena rostriformis bugensis[ORGN] AND  trnl","Dreissena rostriformis bugensis[ORGN] AND  12S"
"Melanoides tuberculata","Melanoides tuberculata[ORGN] AND 18S","Melanoides tuberculata[ORGN] AND  16S","Melanoides tuberculata[ORGN] AND  PITS","Melanoides tuberculata[ORGN] AND  CO1","Melanoides tuberculata[ORGN] AND  COI","Melanoides tuberculata[ORGN] AND  COX1","Melanoides tuberculata[ORGN] AND  FITS","Melanoides tuberculata[ORGN] AND  ITS2","Melanoides tuberculata[ORGN] AND  ITS1","Melanoides tuberculata[ORGN] AND  trnl","Melanoides tuberculata[ORGN] AND  12S"
"Potamopyrgus antipodarum","Potamopyrgus antipodarum[ORGN] AND 18S","Potamopyrgus antipodarum[ORGN] AND  16S","Potamopyrgus antipodarum[ORGN] AND  PITS","Potamopyrgus antipodarum[ORGN] AND  CO1","Potamopyrgus antipodarum[ORGN] AND  COI","Potamopyrgus antipodarum[ORGN] AND  COX1","Potamopyrgus antipodarum[ORGN] AND  FITS","Potamopyrgus antipodarum[ORGN] AND  ITS2","Potamopyrgus antipodarum[ORGN] AND  ITS1","Potamopyrgus antipodarum[ORGN] AND  trnl","Potamopyrgus antipodarum[ORGN] AND  12S"
"Caulerpa taxifolia","Caulerpa taxifolia[ORGN] AND 18S","Caulerpa taxifolia[ORGN] AND  16S","Caulerpa taxifolia[ORGN] AND  PITS","Caulerpa taxifolia[ORGN] AND  CO1","Caulerpa taxifolia[ORGN] AND  COI","Caulerpa taxifolia[ORGN] AND  COX1","Caulerpa taxifolia[ORGN] AND  FITS","Caulerpa taxifolia[ORGN] AND  ITS2","Caulerpa taxifolia[ORGN] AND  ITS1","Caulerpa taxifolia[ORGN] AND  trnl","Caulerpa taxifolia[ORGN] AND  12S"
