"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Cylindrospermopsis raciborskii FLcultureL-5","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NJ3","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii str. Goon","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii T3","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LMECYA 134","0","4","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii QHSS/NR/CYL/03","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LMECYA 132","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LMECYA 135","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii 3-1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AWT205","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYP-018A","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYP032A","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LD-D","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LD-E","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LD-F","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LD-G","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LD-I","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LG-L","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CS-505","0","115","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CS-506","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CS-507","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CS-508","0","328","0","0","0","0","0","0","0","0","0"
