"ORGN Name","18S","16S","PITS","CO1","COI","COX1","FITS","ITS2","ITS1","trnl","12S"
"Salmo salar","Salmo salar","Salmo salar","zero","Salmo salar","Salmo salar","Salmo salar","zero","Salmo salar","Salmo salar","zero","Salmo salar"
"Pterois volitans","zero","Pterois volitans","zero","Pterois volitans","Pterois volitans","Pterois volitans","zero","zero","zero","zero","Pterois volitans"
"Ameiurus melas","zero","Ameiurus melas","zero","zero","Ameiurus melas","zero","zero","zero","zero","zero","Ameiurus melas"
"Ameiurus nebulosus","zero","Ameiurus nebulosus","zero","zero","Ameiurus nebulosus","Ameiurus nebulosus","zero","zero","zero","zero","Ameiurus nebulosus"
"Anguilla rostrata","Anguilla rostrata","Anguilla rostrata","zero","zero","Anguilla rostrata","Anguilla rostrata","zero","zero","zero","zero","Anguilla rostrata"
"Carassius auratus","Carassius auratus","Carassius auratus","zero","Carassius auratus","Carassius auratus","Carassius auratus","zero","Carassius auratus","Carassius auratus","zero","Carassius auratus"
"Carassius auratus x 2 Megalobrama amblycephala","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Carassius auratus ssp. Pengze","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Carassius auratus ssp. 2 kinbuna","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Carassius auratus ssp. Pingxiang","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Carassius auratus ssp. 1 MT-2012","zero","Carassius auratus ssp. 1 MT-2012","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Carassius auratus x (Carassius carassius x Carassius auratus gibelio)","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Carassius auratus ssp. Kinbuna","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","Carassius auratus ssp. Kinbuna"
"Ctenopharyngodon idella","Ctenopharyngodon idella","Ctenopharyngodon idella","zero","Ctenopharyngodon idella","Ctenopharyngodon idella","Ctenopharyngodon idella","zero","zero","zero","zero","Ctenopharyngodon idella"
"Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","zero","Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","zero","Cyprinus carpio","Cyprinus carpio","Cyprinus carpio","Cyprinus carpio"
"Cyprinus carpio Ying hybrid","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cyprinus carpio (triploid)","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cyprinus carpio Guilin","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Gambusia affinis","Gambusia affinis","Gambusia affinis","zero","zero","Gambusia affinis","Gambusia affinis","zero","zero","zero","zero","Gambusia affinis"
"Gambusia holbrooki","Gambusia holbrooki","Gambusia holbrooki","zero","Gambusia holbrooki","Gambusia holbrooki","Gambusia holbrooki","zero","zero","zero","zero","Gambusia holbrooki"
"Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus aculeatus","zero","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus aculeatus","zero","zero","zero","zero","Gasterosteus aculeatus"
"Gymnocephalus cernua","zero","Gymnocephalus cernua","zero","zero","Gymnocephalus cernua","Gymnocephalus cernua","zero","zero","zero","zero","Gymnocephalus cernua"
"Hypophthalmichthys nobilis","Hypophthalmichthys nobilis","Hypophthalmichthys nobilis","zero","Hypophthalmichthys nobilis","Hypophthalmichthys nobilis","Hypophthalmichthys nobilis","zero","zero","zero","zero","Hypophthalmichthys nobilis"
"Lepisosteus platostomus","zero","Lepisosteus platostomus","zero","zero","Lepisosteus platostomus","zero","zero","zero","zero","zero","Lepisosteus platostomus"
"Neogobius melanostomus","Neogobius melanostomus","Neogobius melanostomus","zero","Neogobius melanostomus","Neogobius melanostomus","Neogobius melanostomus","zero","zero","zero","zero","Neogobius melanostomus"
"Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","zero","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","zero","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","zero","Oncorhynchus gorbuscha"
"Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus mykiss","zero","Oncorhynchus mykiss","Oncorhynchus mykiss","Oncorhynchus mykiss","zero","Oncorhynchus mykiss","Oncorhynchus mykiss","zero","Oncorhynchus mykiss"
"Platichthys flesus","Platichthys flesus","Platichthys flesus","zero","zero","Platichthys flesus","zero","zero","Platichthys flesus","Platichthys flesus","zero","Platichthys flesus"
"Salmo trutta","Salmo trutta","Salmo trutta","zero","Salmo trutta","Salmo trutta","Salmo trutta","zero","Salmo trutta","Salmo trutta","zero","Salmo trutta"
"Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus","zero","Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus","zero","Salvelinus alpinus","Salvelinus alpinus","zero","Salvelinus alpinus"
"Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis","zero","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis","zero","Salvelinus fontinalis","Salvelinus fontinalis","zero","Salvelinus fontinalis"
"Scardinius erythrophthalmus","Scardinius erythrophthalmus","Scardinius erythrophthalmus","zero","zero","Scardinius erythrophthalmus","Scardinius erythrophthalmus","zero","zero","Scardinius erythrophthalmus","zero","Scardinius erythrophthalmus"
"Tinca tinca","Tinca tinca","Tinca tinca","zero","Tinca tinca","Tinca tinca","Tinca tinca","zero","Tinca tinca","Tinca tinca","zero","Tinca tinca"
"Danio rerio","Danio rerio","Danio rerio","zero","Danio rerio","Danio rerio","Danio rerio","zero","Danio rerio","Danio rerio","zero","Danio rerio"
"Mylopharyngodon piceus","zero","Mylopharyngodon piceus","zero","Mylopharyngodon piceus","Mylopharyngodon piceus","Mylopharyngodon piceus","zero","zero","zero","zero","Mylopharyngodon piceus"
"Alexandrium ostenfeldii","Alexandrium ostenfeldii","zero","zero","zero","Alexandrium ostenfeldii","zero","zero","Alexandrium ostenfeldii","Alexandrium ostenfeldii","zero","zero"
"Alexandrium tamarense","Alexandrium tamarense","zero","zero","Alexandrium tamarense","Alexandrium tamarense","Alexandrium tamarense","zero","Alexandrium tamarense","Alexandrium tamarense","zero","zero"
"Alexandrium tamarense SPE10-03","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Alexandrium tamarense ATSP1-B","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Alexandrium tamarense species complex group I","Alexandrium tamarense species complex group I","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Alexandrium tamarense species complex group II","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Alexandrium tamarense species complex group III","Alexandrium tamarense species complex group III","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Alexandrium tamarense species complex group IV","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Corbula","Corbula","Corbula","zero","Corbula","Corbula","zero","zero","zero","zero","zero","zero"
"Myriophyllum spicatum","Myriophyllum spicatum","Myriophyllum spicatum","zero","zero","zero","zero","zero","Myriophyllum spicatum","Myriophyllum spicatum","Myriophyllum spicatum","zero"
"Botryllus schlosseri","Botryllus schlosseri","zero","zero","Botryllus schlosseri","Botryllus schlosseri","Botryllus schlosseri","zero","zero","zero","zero","zero"
"Botrylloides violaceus","Botrylloides violaceus","zero","zero","zero","Botrylloides violaceus","Botrylloides violaceus","zero","zero","zero","zero","Botrylloides violaceus"
"Mya arenaria","Mya arenaria","Mya arenaria","zero","zero","Mya arenaria","Mya arenaria","zero","Mya arenaria","Mya arenaria","zero","Mya arenaria"
"Asparagopsis armata","zero","zero","zero","zero","Asparagopsis armata","Asparagopsis armata","zero","zero","zero","zero","zero"
"Oreochromis mossambicus","Oreochromis mossambicus","Oreochromis mossambicus","zero","Oreochromis mossambicus","Oreochromis mossambicus","Oreochromis mossambicus","zero","zero","Oreochromis mossambicus","zero","Oreochromis mossambicus"
"Charybdis hellerii","zero","Charybdis hellerii","zero","zero","Charybdis hellerii","Charybdis hellerii","zero","zero","Charybdis hellerii","zero","Charybdis hellerii"
"Rangia cuneata","Rangia cuneata","Rangia cuneata","zero","zero","Rangia cuneata","Rangia cuneata","zero","zero","zero","zero","zero"
"Belonesox belizanus","zero","Belonesox belizanus","zero","zero","Belonesox belizanus","zero","zero","zero","zero","zero","Belonesox belizanus"
"Dorosoma petenense","zero","Dorosoma petenense","zero","zero","Dorosoma petenense","Dorosoma petenense","zero","zero","zero","zero","Dorosoma petenense"
"Eriocheir sinensis","Eriocheir sinensis","Eriocheir sinensis","zero","Eriocheir sinensis","Eriocheir sinensis","Eriocheir sinensis","zero","Eriocheir sinensis","Eriocheir sinensis","zero","Eriocheir sinensis"
"Monopterus albus","Monopterus albus","Monopterus albus","zero","zero","Monopterus albus","Monopterus albus","zero","zero","zero","zero","Monopterus albus"
"Lepomis macrochirus","Lepomis macrochirus","Lepomis macrochirus","zero","zero","Lepomis macrochirus","Lepomis macrochirus","zero","zero","zero","zero","Lepomis macrochirus"
"Acanthophora spicifera","Acanthophora spicifera","zero","zero","zero","Acanthophora spicifera","Acanthophora spicifera","zero","zero","zero","zero","zero"
"Microspongium globosum","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Alepes djedaba","zero","Alepes djedaba","zero","zero","Alepes djedaba","Alepes djedaba","zero","Alepes djedaba","Alepes djedaba","zero","Alepes djedaba"
"Avrainvillea","zero","Avrainvillea","zero","zero","zero","zero","zero","zero","zero","Avrainvillea","zero"
"Cladophora sericea","Cladophora sericea","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Dictyosphaeria cavernosa","Dictyosphaeria cavernosa","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Fucus cottoni","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Gracilaria salicornia","Gracilaria salicornia","zero","zero","zero","Gracilaria salicornia","Gracilaria salicornia","zero","Gracilaria salicornia","Gracilaria salicornia","Gracilaria salicornia","zero"
"Grateloupia filicina","Grateloupia filicina","Grateloupia filicina","zero","zero","Grateloupia filicina","Grateloupia filicina","zero","Grateloupia filicina","Grateloupia filicina","Grateloupia filicina","zero"
"Hypnea musciformis","Hypnea musciformis","zero","zero","zero","Hypnea musciformis","Hypnea musciformis","zero","zero","zero","zero","zero"
"Kappaphycus alvarezii","Kappaphycus alvarezii","Kappaphycus alvarezii","zero","zero","Kappaphycus alvarezii","Kappaphycus alvarezii","zero","Kappaphycus alvarezii","Kappaphycus alvarezii","zero","zero"
"Neosiphonia","Neosiphonia","zero","zero","zero","Neosiphonia","Neosiphonia","zero","zero","zero","zero","zero"
"Ulva fasciata","Ulva fasciata","Ulva fasciata","zero","zero","zero","Ulva fasciata","zero","Ulva fasciata","Ulva fasciata","zero","zero"
"Antithamnion nipponicum","Antithamnion nipponicum","zero","zero","zero","zero","zero","zero","zero","Antithamnion nipponicum","zero","zero"
"Asparagopsis taxiformis","zero","Asparagopsis taxiformis","zero","zero","Asparagopsis taxiformis","Asparagopsis taxiformis","zero","zero","zero","Asparagopsis taxiformis","zero"
"Gymnodinium catenatum","Gymnodinium catenatum","zero","zero","zero","Gymnodinium catenatum","Gymnodinium catenatum","zero","Gymnodinium catenatum","Gymnodinium catenatum","zero","zero"
"Gymnodinium catenatum GC744","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Antithamnionella spirographidis","Antithamnionella spirographidis","Antithamnionella spirographidis","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Bryopsis pennata","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Gracilaria tikvahiae","Gracilaria tikvahiae","zero","zero","zero","Gracilaria tikvahiae","Gracilaria tikvahiae","zero","Gracilaria tikvahiae","Gracilaria tikvahiae","zero","zero"
"Grateloupia turuturu","Grateloupia turuturu","Grateloupia turuturu","zero","zero","Grateloupia turuturu","zero","zero","Grateloupia turuturu","Grateloupia turuturu","Grateloupia turuturu","zero"
"Macrocystis integrifolia","Macrocystis integrifolia","Macrocystis integrifolia","zero","zero","zero","Macrocystis integrifolia","zero","Macrocystis integrifolia","Macrocystis integrifolia","Macrocystis integrifolia","zero"
"Polysiphonia","Polysiphonia","zero","zero","zero","Polysiphonia","Polysiphonia","zero","zero","zero","Polysiphonia","zero"
"Polysiphonia sertularioides-1","Polysiphonia sertularioides-1","zero","zero","zero","Polysiphonia sertularioides-1","zero","zero","zero","zero","zero","zero"
"Polysiphonia sertularioides-2","Polysiphonia sertularioides-2","zero","zero","zero","Polysiphonia sertularioides-2","zero","zero","zero","zero","zero","zero"
"Polysiphonia sertularioides-3","Polysiphonia sertularioides-3","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Actinocyclus","Actinocyclus","Actinocyclus","zero","zero","Actinocyclus","Actinocyclus","zero","zero","zero","zero","zero"
"Aureococcus anophagefferens","Aureococcus anophagefferens","Aureococcus anophagefferens","zero","zero","zero","Aureococcus anophagefferens","zero","Aureococcus anophagefferens","Aureococcus anophagefferens","Aureococcus anophagefferens","zero"
"Aureoumbra lagunensis","Aureoumbra lagunensis","Aureoumbra lagunensis","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Bangia atropurpurea","Bangia atropurpurea","zero","zero","Bangia atropurpurea","Bangia atropurpurea","Bangia atropurpurea","zero","Bangia atropurpurea","Bangia atropurpurea","zero","zero"
"Caulacanthus ustulatus","zero","zero","zero","zero","Caulacanthus ustulatus","zero","zero","zero","zero","zero","zero"
