"ORGN Name","18S","16S","PITS","CO1","COI","COX1","FITS","ITS2","ITS1","trnl","12S"
"Cylindrospermopsis raciborskii CHAB 6611","zero","Cylindrospermopsis raciborskii CHAB 6611","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB 6612","zero","Cylindrospermopsis raciborskii CHAB 6612","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii KL1","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Diatoma","Diatoma","Diatoma","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Didymosphenia geminata","Didymosphenia geminata","Didymosphenia geminata","zero","zero","Didymosphenia geminata","Didymosphenia geminata","zero","zero","zero","zero","zero"
"Enteromorpha flexuosa","Enteromorpha flexuosa","Enteromorpha flexuosa","zero","zero","zero","Enteromorpha flexuosa","zero","Enteromorpha flexuosa","Enteromorpha flexuosa","zero","zero"
"Enteromorpha intestinalis","Enteromorpha intestinalis","zero","zero","zero","zero","zero","zero","Enteromorpha intestinalis","Enteromorpha intestinalis","zero","zero"
"Enteromorpha prolifera","Enteromorpha prolifera","Enteromorpha prolifera","zero","zero","zero","Enteromorpha prolifera","zero","Enteromorpha prolifera","Enteromorpha prolifera","zero","zero"
"Hymenomonas","Hymenomonas","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Nitellopsis obtusa","Nitellopsis obtusa","Nitellopsis obtusa","zero","zero","zero","zero","zero","Nitellopsis obtusa","Nitellopsis obtusa","zero","zero"
"Pleurosira laevis","Pleurosira laevis","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Skeletonema potamos","Skeletonema potamos","zero","zero","zero","zero","Skeletonema potamos","zero","Skeletonema potamos","zero","zero","zero"
"Skeletonema subsalsum","Skeletonema subsalsum","Skeletonema subsalsum","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Sphacelaria","Sphacelaria","zero","zero","zero","Sphacelaria","zero","zero","Sphacelaria","Sphacelaria","zero","zero"
"Stephanodiscus binderanus","Stephanodiscus binderanus","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Stephanodiscus","Stephanodiscus","Stephanodiscus","zero","zero","zero","zero","zero","Stephanodiscus","Stephanodiscus","zero","zero"
"Thalassiosira baltica","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Thalassiosira","Thalassiosira","Thalassiosira","Thalassiosira","zero","Thalassiosira","Thalassiosira","zero","Thalassiosira","Thalassiosira","zero","zero"
"Thalassiosira aff. antarctica","Thalassiosira aff. antarctica","Thalassiosira aff. antarctica","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Thalassiosira aff. guillardii IAL-2014","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Thalassiosira aff. minima IAL-2014","Thalassiosira aff. minima IAL-2014","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Thalassiosira pseudonana","Thalassiosira pseudonana","Thalassiosira pseudonana","Thalassiosira pseudonana","zero","zero","Thalassiosira pseudonana","zero","Thalassiosira pseudonana","Thalassiosira pseudonana","zero","zero"
"Thalassiosira pseudonana CCMP1335","zero","zero","Thalassiosira pseudonana CCMP1335","zero","zero","zero","zero","Thalassiosira pseudonana CCMP1335","Thalassiosira pseudonana CCMP1335","zero","zero"
"Bufo","zero","Bufo","zero","Bufo","Bufo","Bufo","zero","zero","zero","zero","Bufo"
"Paranais frici","Paranais frici","Paranais frici","zero","zero","Paranais frici","zero","zero","Paranais frici","Paranais frici","zero","Paranais frici"
"Branchiura sowerbyi","Branchiura sowerbyi","Branchiura sowerbyi","zero","zero","Branchiura sowerbyi","Branchiura sowerbyi","zero","Branchiura sowerbyi","zero","zero","Branchiura sowerbyi"
"Gianius aquaedulcis","Gianius aquaedulcis","Gianius aquaedulcis","zero","zero","Gianius aquaedulcis","zero","zero","zero","zero","zero","zero"
"Potamothrix bedoti","Potamothrix bedoti","Potamothrix bedoti","zero","zero","Potamothrix bedoti","zero","zero","zero","zero","zero","Potamothrix bedoti"
"Potamothrix moldaviensis","Potamothrix moldaviensis","Potamothrix moldaviensis","zero","zero","Potamothrix moldaviensis","zero","zero","Potamothrix moldaviensis","Potamothrix moldaviensis","zero","Potamothrix moldaviensis"
"Potamothrix vejdovskyi","Potamothrix vejdovskyi","zero","zero","zero","Potamothrix vejdovskyi","zero","zero","zero","zero","zero","zero"
"Ripistes parasita","Ripistes parasita","Ripistes parasita","zero","zero","Ripistes parasita","zero","zero","zero","zero","zero","Ripistes parasita"
"Heteromastus filiformis","Heteromastus filiformis","zero","zero","zero","Heteromastus filiformis","zero","zero","zero","zero","zero","zero"
"Polydora cornuta","Polydora cornuta","Polydora cornuta","zero","zero","Polydora cornuta","zero","zero","zero","zero","zero","zero"
"Boccardiella ligerica","Boccardiella ligerica","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Salmacina","Salmacina","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Amphicteis","Amphicteis","Amphicteis","zero","zero","Amphicteis","zero","zero","zero","zero","zero","zero"
"Capitella capitata","Capitella capitata","Capitella capitata","zero","Capitella capitata","Capitella capitata","zero","zero","zero","zero","zero","zero"
"Dodecaceria concharum","Dodecaceria concharum","Dodecaceria concharum","zero","zero","Dodecaceria concharum","zero","zero","zero","zero","zero","zero"
"Exogone","Exogone","zero","zero","zero","Exogone","zero","zero","zero","zero","zero","zero"
"Harmothoe imbricata","Harmothoe imbricata","Harmothoe imbricata","zero","zero","Harmothoe imbricata","Harmothoe imbricata","zero","Harmothoe imbricata","Harmothoe imbricata","zero","zero"
"Hydroides brachyacantha","Hydroides brachyacantha","zero","zero","zero","Hydroides brachyacantha","zero","zero","Hydroides brachyacantha","zero","zero","zero"
"Lumbrineris japonica","zero","zero","zero","zero","Lumbrineris japonica","zero","zero","zero","zero","zero","zero"
"Marphysa sanguinea","Marphysa sanguinea","Marphysa sanguinea","zero","Marphysa sanguinea","Marphysa sanguinea","Marphysa sanguinea","zero","zero","zero","zero","Marphysa sanguinea"
"Myxicola","Myxicola","Myxicola","zero","zero","Myxicola","zero","zero","zero","zero","zero","zero"
"Neanthes acuminata","Neanthes acuminata","Neanthes acuminata","zero","zero","Neanthes acuminata","zero","zero","zero","zero","zero","zero"
"Neanthes","Neanthes","Neanthes","zero","zero","Neanthes","Neanthes","zero","zero","zero","zero","Neanthes"
"Nephtys longosetosa","Nephtys longosetosa","zero","zero","zero","Nephtys longosetosa","zero","zero","zero","zero","zero","zero"
"Polydora","Polydora","Polydora","zero","zero","Polydora","Polydora","zero","Polydora","Polydora","Polydora","Polydora"
"Pomatoleios kraussii","Pomatoleios kraussii","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Scolelepis squamata","Scolelepis squamata","zero","zero","zero","Scolelepis squamata","zero","zero","zero","zero","zero","zero"
"Spiophanes","Spiophanes","Spiophanes","zero","zero","Spiophanes","Spiophanes","zero","zero","zero","zero","zero"
"Streblospio benedicti","Streblospio benedicti","zero","zero","Streblospio benedicti","Streblospio benedicti","zero","zero","zero","zero","zero","zero"
"Acentropus niveus","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Tanysphyrus lemnae","Tanysphyrus lemnae","Tanysphyrus lemnae","zero","zero","Tanysphyrus lemnae","zero","zero","zero","zero","zero","zero"
"Ammothea hilgendorfi","Ammothea hilgendorfi","Ammothea hilgendorfi","zero","Ammothea hilgendorfi","Ammothea hilgendorfi","Ammothea hilgendorfi","zero","zero","zero","zero","Ammothea hilgendorfi"
"Cygnus olor","zero","Cygnus olor","zero","Cygnus olor","Cygnus olor","Cygnus olor","zero","zero","zero","zero","Cygnus olor"
"Tricellaria inopinata","zero","zero","zero","zero","Tricellaria inopinata","zero","zero","zero","zero","zero","zero"
"Victorella pavida","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cryptosula pallasiana","Cryptosula pallasiana","Cryptosula pallasiana","zero","zero","Cryptosula pallasiana","Cryptosula pallasiana","zero","zero","zero","zero","Cryptosula pallasiana"
"Schizoporella","Schizoporella","Schizoporella","zero","zero","Schizoporella","Schizoporella","zero","zero","zero","zero","Schizoporella"
"Amathia distans","zero","Amathia distans","zero","zero","Amathia distans","zero","zero","zero","zero","zero","zero"
"Schizoporella errata","zero","zero","zero","zero","Schizoporella errata","zero","zero","zero","zero","zero","zero"
"Watersipora arcuata","Watersipora arcuata","Watersipora arcuata","zero","zero","Watersipora arcuata","zero","zero","zero","zero","zero","zero"
"Alcyonidium gelatinosum","Alcyonidium gelatinosum","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Barentsia benedeni","Barentsia benedeni","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Bowerbankia","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Bugula","Bugula","Bugula","zero","Bugula","Bugula","Bugula","zero","zero","zero","zero","Bugula"
"Bugula pacifica","zero","zero","zero","zero","Bugula pacifica","zero","zero","zero","zero","zero","zero"
"Cribrilina","Cribrilina","Cribrilina","zero","zero","Cribrilina","Cribrilina","zero","zero","zero","zero","zero"
"Lophopodella carteri","zero","Lophopodella carteri","zero","zero","zero","zero","zero","zero","zero","zero","Lophopodella carteri"
"Membranipora","Membranipora","Membranipora","zero","Membranipora","Membranipora","Membranipora","zero","zero","zero","zero","Membranipora"
"Poricella robusta","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Savigyniella lafonti","zero","Savigyniella lafonti","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Tubulipora","Tubulipora","Tubulipora","zero","zero","Tubulipora","Tubulipora","zero","zero","zero","zero","Tubulipora"
"Watersipora subtorquata","Watersipora subtorquata","Watersipora subtorquata","zero","zero","Watersipora subtorquata","Watersipora subtorquata","zero","zero","zero","zero","Watersipora subtorquata"
"Myxobolus cerebralis","Myxobolus cerebralis","zero","zero","zero","zero","zero","zero","Myxobolus cerebralis","Myxobolus cerebralis","zero","zero"
"Carijoa riisei","zero","Carijoa riisei","zero","zero","Carijoa riisei","Carijoa riisei","zero","zero","zero","zero","Carijoa riisei"
"Diadumene lineata","Diadumene lineata","Diadumene lineata","zero","zero","Diadumene lineata","Diadumene lineata","zero","zero","zero","zero","Diadumene lineata"
"Tubastraea coccinea","Tubastraea coccinea","Tubastraea coccinea","zero","zero","Tubastraea coccinea","Tubastraea coccinea","zero","Tubastraea coccinea","Tubastraea coccinea","zero","Tubastraea coccinea"
"Bunodeopsis","Bunodeopsis","Bunodeopsis","zero","zero","zero","zero","zero","zero","Bunodeopsis","zero","Bunodeopsis"
"Diadumene","Diadumene","Diadumene","zero","zero","Diadumene","Diadumene","zero","zero","zero","zero","Diadumene"
"Diadumene leucolena","Diadumene leucolena","Diadumene leucolena","zero","zero","Diadumene leucolena","zero","zero","zero","zero","zero","Diadumene leucolena"
"Garveia","Garveia","Garveia","zero","zero","Garveia","zero","zero","zero","zero","zero","zero"
"Maeotias marginata","zero","Maeotias marginata","zero","zero","Maeotias marginata","zero","zero","zero","Maeotias marginata","zero","zero"
"Moerisia lyonsi","zero","zero","zero","zero","zero","zero","zero","zero","Moerisia lyonsi","zero","zero"
"Gonionemus vertens","zero","Gonionemus vertens","zero","zero","Gonionemus vertens","zero","zero","zero","zero","zero","zero"
"Pennaria disticha","Pennaria disticha","Pennaria disticha","zero","zero","zero","Pennaria disticha","zero","zero","zero","zero","zero"
"Campanulariidae","Campanulariidae","Campanulariidae","zero","zero","Campanulariidae","Campanulariidae","zero","Campanulariidae","Campanulariidae","zero","zero"
"Clytia hemisphaerica","Clytia hemisphaerica","Clytia hemisphaerica","zero","zero","Clytia hemisphaerica","Clytia hemisphaerica","zero","zero","zero","zero","zero"
"Dynamena crisioides","Dynamena crisioides","Dynamena crisioides","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Eudendrium","Eudendrium","Eudendrium","zero","zero","Eudendrium","Eudendrium","zero","zero","zero","zero","Eudendrium"
"Gonothyraea","Gonothyraea","Gonothyraea","zero","zero","Gonothyraea","zero","zero","zero","zero","zero","zero"
"Laomedea","Laomedea","Laomedea","zero","zero","Laomedea","Laomedea","zero","zero","zero","zero","zero"
"Obelia dichotoma","Obelia dichotoma","Obelia dichotoma","zero","zero","Obelia dichotoma","Obelia dichotoma","zero","Obelia dichotoma","Obelia dichotoma","zero","zero"
"Obelia longissima","Obelia longissima","Obelia longissima","zero","zero","Obelia longissima","Obelia longissima","zero","Obelia longissima","Obelia longissima","zero","zero"
"Obelia","Obelia","Obelia","zero","zero","Obelia","Obelia","zero","Obelia","Obelia","zero","zero"
"Plumularia strictocarpa","Plumularia strictocarpa","Plumularia strictocarpa","zero","zero","Plumularia strictocarpa","zero","zero","zero","zero","zero","zero"
"Sarsia tubulosa","Sarsia tubulosa","Sarsia tubulosa","zero","zero","Sarsia tubulosa","Sarsia tubulosa","zero","zero","zero","zero","Sarsia tubulosa"
"Sertularella diaphana","Sertularella diaphana","Sertularella diaphana","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Thyroscyphus fruticosus","zero","Thyroscyphus fruticosus","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Tubularia","Tubularia","Tubularia","zero","zero","Tubularia","zero","zero","zero","zero","zero","zero"
"Turritopsis nutricula","Turritopsis nutricula","Turritopsis nutricula","zero","zero","Turritopsis nutricula","Turritopsis nutricula","zero","zero","zero","zero","zero"
"Phyllorhiza punctata","Phyllorhiza punctata","Phyllorhiza punctata","zero","zero","Phyllorhiza punctata","zero","zero","zero","zero","zero","zero"
"Drymonema dalmatinum","Drymonema dalmatinum","Drymonema dalmatinum","zero","zero","Drymonema dalmatinum","zero","zero","zero","Drymonema dalmatinum","zero","zero"
"Maeotias","zero","Maeotias","zero","zero","Maeotias","zero","zero","zero","Maeotias","zero","zero"
"Cassiopea andromeda","Cassiopea andromeda","Cassiopea andromeda","zero","zero","Cassiopea andromeda","Cassiopea andromeda","zero","zero","zero","zero","zero"
"Aurelia aurita","Aurelia aurita","Aurelia aurita","zero","zero","Aurelia aurita","Aurelia aurita","zero","Aurelia aurita","Aurelia aurita","zero","Aurelia aurita"
"Craspedacusta sowerbii","Craspedacusta sowerbii","Craspedacusta sowerbii","zero","zero","Craspedacusta sowerbii","Craspedacusta sowerbii","zero","Craspedacusta sowerbii","Craspedacusta sowerbii","zero","Craspedacusta sowerbii"
"Jassa marmorata","Jassa marmorata","zero","zero","zero","Jassa marmorata","zero","zero","zero","zero","zero","zero"
"Grandidierella japonica","Grandidierella japonica","Grandidierella japonica","zero","zero","Grandidierella japonica","Grandidierella japonica","zero","zero","zero","Grandidierella japonica","zero"
"Laticorophium baconi","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Monocorophium acherusicum","Monocorophium acherusicum","zero","zero","zero","Monocorophium acherusicum","zero","zero","zero","zero","zero","zero"
"Monocorophium insidiosum","Monocorophium insidiosum","zero","zero","zero","Monocorophium insidiosum","zero","zero","zero","zero","zero","zero"
"Gammarus daiberi","zero","zero","zero","zero","Gammarus daiberi","zero","zero","zero","zero","zero","zero"
"Ampelisca abdita","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Ampithoe valida","Ampithoe valida","Ampithoe valida","zero","zero","Ampithoe valida","zero","zero","zero","zero","zero","zero"
"Bemlos virgus","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Corophium","Corophium","zero","zero","zero","Corophium","Corophium","zero","zero","zero","zero","zero"
"Echinogammarus ischnus","Echinogammarus ischnus","zero","zero","zero","Echinogammarus ischnus","zero","zero","zero","zero","zero","zero"
"Ericthonius brasiliensis","Ericthonius brasiliensis","Ericthonius brasiliensis","zero","zero","Ericthonius brasiliensis","zero","zero","zero","zero","zero","zero"
"Gammarus tigrinus","Gammarus tigrinus","Gammarus tigrinus","zero","zero","Gammarus tigrinus","zero","zero","zero","Gammarus tigrinus","zero","Gammarus tigrinus"
"Microjassa","zero","zero","zero","zero","Microjassa","zero","zero","zero","zero","zero","zero"
"Parapleustes","zero","zero","zero","zero","Parapleustes","zero","zero","zero","zero","zero","zero"
"Stenothoe","Stenothoe","zero","zero","zero","Stenothoe","Stenothoe","zero","zero","zero","zero","zero"
"Balanus trigonus","Balanus trigonus","Balanus trigonus","zero","zero","Balanus trigonus","Balanus trigonus","zero","zero","zero","zero","Balanus trigonus"
"Balanus","Balanus","Balanus","zero","Balanus","Balanus","Balanus","zero","zero","zero","zero","Balanus"
"Chthamalus proteus","Chthamalus proteus","Chthamalus proteus","zero","zero","Chthamalus proteus","Chthamalus proteus","zero","zero","zero","zero","Chthamalus proteus"
"Balanus crenatus","Balanus crenatus","Balanus crenatus","zero","zero","Balanus crenatus","zero","zero","zero","zero","zero","Balanus crenatus"
"Balanus glandula","Balanus glandula","Balanus glandula","zero","zero","Balanus glandula","zero","zero","zero","zero","zero","Balanus glandula"
"Megabalanus coccopoma","Megabalanus coccopoma","Megabalanus coccopoma","zero","zero","Megabalanus coccopoma","zero","zero","zero","zero","zero","Megabalanus coccopoma"
"Daphnia galeata galeata","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","Daphnia galeata galeata"
"Eubosmina coregoni","Eubosmina coregoni","Eubosmina coregoni","zero","zero","Eubosmina coregoni","zero","zero","Eubosmina coregoni","Eubosmina coregoni","zero","Eubosmina coregoni"
"Eubosmina maritima","zero","Eubosmina maritima","zero","zero","zero","zero","zero","Eubosmina maritima","Eubosmina maritima","zero","zero"
"Mytilicola orientalis","Mytilicola orientalis","zero","zero","zero","Mytilicola orientalis","zero","zero","zero","zero","zero","zero"
"Pseudodiaptomus inopinus","Pseudodiaptomus inopinus","zero","zero","zero","Pseudodiaptomus inopinus","zero","zero","Pseudodiaptomus inopinus","Pseudodiaptomus inopinus","zero","zero"
"Argulus japonicus","Argulus japonicus","Argulus japonicus","zero","zero","Argulus japonicus","Argulus japonicus","zero","zero","zero","zero","Argulus japonicus"
"Cyclops strenuus","Cyclops strenuus","Cyclops strenuus","zero","zero","Cyclops strenuus","zero","zero","Cyclops strenuus","Cyclops strenuus","zero","Cyclops strenuus"
"Daphnia lumholtzi","zero","Daphnia lumholtzi","zero","zero","Daphnia lumholtzi","zero","zero","zero","zero","zero","Daphnia lumholtzi"
"Eurytemora affinis","Eurytemora affinis","Eurytemora affinis","zero","Eurytemora affinis","Eurytemora affinis","Eurytemora affinis","zero","zero","zero","zero","Eurytemora affinis"
"Heteropsyllus","zero","zero","zero","zero","Heteropsyllus","zero","zero","zero","zero","zero","zero"
"Megacyclops viridis","Megacyclops viridis","zero","zero","zero","Megacyclops viridis","zero","zero","Megacyclops viridis","Megacyclops viridis","zero","Megacyclops viridis"
"Neoergasilus japonicus","Neoergasilus japonicus","zero","zero","zero","Neoergasilus japonicus","zero","zero","zero","zero","zero","zero"
"Nippoleucon hinumensis","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Nitokra hibernica","Nitokra hibernica","zero","zero","zero","zero","Nitokra hibernica","zero","zero","zero","zero","zero"
"Nitokra","Nitokra","zero","zero","zero","Nitokra","Nitokra","zero","zero","zero","zero","zero"
"Oithona davisae","Oithona davisae","zero","zero","zero","Oithona davisae","zero","zero","zero","zero","zero","zero"
"Pseudodiaptomus marinus","Pseudodiaptomus marinus","zero","zero","zero","Pseudodiaptomus marinus","zero","zero","Pseudodiaptomus marinus","Pseudodiaptomus marinus","zero","zero"
"Salmincola","zero","zero","zero","zero","Salmincola","zero","zero","zero","zero","zero","zero"
"Schizopera","zero","Schizopera","zero","zero","Schizopera","Schizopera","zero","zero","zero","zero","Schizopera"
"Skistodiaptomus pallidus","Skistodiaptomus pallidus","Skistodiaptomus pallidus","zero","Skistodiaptomus pallidus","Skistodiaptomus pallidus","zero","zero","Skistodiaptomus pallidus","Skistodiaptomus pallidus","zero","zero"
"Tachidius triangularis","Tachidius triangularis","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Hemigrapsus sanguineus","zero","Hemigrapsus sanguineus","zero","Hemigrapsus sanguineus","Hemigrapsus sanguineus","Hemigrapsus sanguineus","zero","zero","zero","zero","Hemigrapsus sanguineus"
"Carcinus maenas","Carcinus maenas","Carcinus maenas","zero","Carcinus maenas","Carcinus maenas","zero","zero","zero","Carcinus maenas","zero","Carcinus maenas"
"Callinectes bocourti","zero","Callinectes bocourti","zero","zero","Callinectes bocourti","Callinectes bocourti","zero","zero","zero","zero","Callinectes bocourti"
"Pachygrapsus fakaravensis","zero","Pachygrapsus fakaravensis","zero","zero","Pachygrapsus fakaravensis","zero","zero","zero","zero","zero","Pachygrapsus fakaravensis"
"Scylla serrata","Scylla serrata","Scylla serrata","zero","Scylla serrata","Scylla serrata","Scylla serrata","zero","zero","Scylla serrata","zero","Scylla serrata"
"Cancer","Cancer","Cancer","zero","Cancer","Cancer","Cancer","zero","zero","zero","zero","Cancer"
"Petrolisthes armatus","Petrolisthes armatus","Petrolisthes armatus","zero","zero","Petrolisthes armatus","Petrolisthes armatus","zero","zero","zero","zero","Petrolisthes armatus"
"Sphaeroma quoianum","Sphaeroma quoianum","Sphaeroma quoianum","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Sphaeroma terebrans","Sphaeroma terebrans","Sphaeroma terebrans","zero","zero","Sphaeroma terebrans","Sphaeroma terebrans","zero","zero","zero","zero","Sphaeroma terebrans"
"Synidotea laevidorsalis","zero","zero","zero","zero","Synidotea laevidorsalis","zero","zero","zero","zero","zero","zero"
"Sphaeroma walkeri","Sphaeroma walkeri","Sphaeroma walkeri","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Ligia exotica","zero","Ligia exotica","zero","Ligia exotica","Ligia exotica","Ligia exotica","zero","zero","zero","zero","Ligia exotica"
"Dynamenopsis","Dynamenopsis","Dynamenopsis","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Dynoides","Dynoides","Dynoides","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Joeropsis dubia","zero","Joeropsis dubia","zero","zero","Joeropsis dubia","zero","zero","zero","zero","zero","zero"
"Paranthura","Paranthura","Paranthura","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Eusarsiella","Eusarsiella","zero","zero","zero","Eusarsiella","zero","zero","zero","zero","zero","zero"
"Hemimysis anomala","Hemimysis anomala","zero","zero","zero","Hemimysis anomala","zero","zero","zero","zero","zero","zero"
"Nebalia","Nebalia","zero","zero","Nebalia","Nebalia","zero","zero","Nebalia","zero","zero","Nebalia"
"Litopenaeus vannamei","Litopenaeus vannamei","Litopenaeus vannamei","zero","Litopenaeus vannamei","Litopenaeus vannamei","Litopenaeus vannamei","zero","Litopenaeus vannamei","Litopenaeus vannamei","zero","Litopenaeus vannamei"
"Macrobrachium olfersii","Macrobrachium olfersii","Macrobrachium olfersii","zero","zero","Macrobrachium olfersii","zero","zero","zero","zero","zero","zero"
"Penaeus monodon","Penaeus monodon","Penaeus monodon","zero","zero","Penaeus monodon","Penaeus monodon","zero","zero","Penaeus monodon","zero","Penaeus monodon"
"Caprella penantis","Caprella penantis","zero","zero","zero","Caprella penantis","Caprella penantis","zero","zero","zero","zero","zero"
"Macrobrachium lar","Macrobrachium lar","Macrobrachium lar","zero","zero","Macrobrachium lar","Macrobrachium lar","zero","zero","zero","zero","zero"
"Macrobrachium rosenbergii","Macrobrachium rosenbergii","Macrobrachium rosenbergii","zero","Macrobrachium rosenbergii","Macrobrachium rosenbergii","Macrobrachium rosenbergii","zero","Macrobrachium rosenbergii","Macrobrachium rosenbergii","zero","Macrobrachium rosenbergii"
"Palaemon macrodactylus","Palaemon macrodactylus","Palaemon macrodactylus","zero","zero","Palaemon macrodactylus","Palaemon macrodactylus","zero","zero","Palaemon macrodactylus","zero","Palaemon macrodactylus"
"Ophiactis savignyi","zero","zero","zero","zero","Ophiactis savignyi","zero","zero","zero","zero","zero","zero"
"Glugea hertwigi","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Heterosporis","zero","Heterosporis","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Sphaeromyxa sevastopoli","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Hydroides elegans","Hydroides elegans","zero","zero","zero","Hydroides elegans","zero","zero","zero","zero","zero","zero"
"Alitta succinea","Alitta succinea","Alitta succinea","zero","zero","Alitta succinea","Alitta succinea","zero","zero","zero","zero","Alitta succinea"
"Polydora ciliata","Polydora ciliata","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Pseudopolydora paucibranchiata","Pseudopolydora paucibranchiata","Pseudopolydora paucibranchiata","zero","zero","Pseudopolydora paucibranchiata","zero","zero","zero","zero","zero","zero"
"Tubificoides pseudogaster","Tubificoides pseudogaster","Tubificoides pseudogaster","zero","zero","Tubificoides pseudogaster","zero","zero","zero","zero","zero","Tubificoides pseudogaster"
"Boccardia proboscidea","Boccardia proboscidea","Boccardia proboscidea","zero","zero","Boccardia proboscidea","zero","zero","zero","zero","zero","zero"
"Euchone","Euchone","Euchone","zero","zero","Euchone","zero","zero","zero","zero","zero","zero"
"Hydroides dirampha","Hydroides dirampha","zero","zero","zero","Hydroides dirampha","zero","zero","Hydroides dirampha","zero","zero","zero"
"Pseudopolydora kempi","zero","Pseudopolydora kempi","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Clymenella torquata","zero","Clymenella torquata","zero","zero","Clymenella torquata","Clymenella torquata","zero","zero","zero","zero","Clymenella torquata"
"Sabellastarte spectabilis","Sabellastarte spectabilis","Sabellastarte spectabilis","zero","zero","Sabellastarte spectabilis","Sabellastarte spectabilis","zero","zero","zero","zero","zero"
"Janua pagenstecheri","Janua pagenstecheri","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Perna perna","Perna perna","Perna perna","zero","zero","Perna perna","Perna perna","zero","Perna perna","Perna perna","zero","zero"
"Ruditapes philippinarum","Ruditapes philippinarum","Ruditapes philippinarum","zero","zero","Ruditapes philippinarum","Ruditapes philippinarum","zero","Ruditapes philippinarum","Ruditapes philippinarum","zero","Ruditapes philippinarum"
"Ceratostoma","zero","Ceratostoma","zero","Ceratostoma","Ceratostoma","Ceratostoma","zero","zero","Ceratostoma","zero","Ceratostoma"
"Geukensia demissa","Geukensia demissa","Geukensia demissa","zero","zero","Geukensia demissa","Geukensia demissa","zero","zero","zero","zero","Geukensia demissa"
"Mytilopsis sallei","Mytilopsis sallei","Mytilopsis sallei","zero","zero","Mytilopsis sallei","zero","zero","zero","zero","zero","zero"
"Teredo","Teredo","Teredo","zero","zero","Teredo","zero","zero","zero","zero","zero","zero"
"Theora lubrica","zero","Theora lubrica","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Acar plicata","Acar plicata","zero","zero","zero","Acar plicata","zero","zero","zero","zero","zero","zero"
"Tenellia adspersa","zero","Tenellia adspersa","zero","zero","Tenellia adspersa","zero","zero","zero","zero","zero","zero"
"Tritonia plebeia","Tritonia plebeia","Tritonia plebeia","zero","zero","Tritonia plebeia","zero","zero","zero","zero","zero","zero"
"Urosalpinx cinerea","zero","Urosalpinx cinerea","zero","zero","Urosalpinx cinerea","zero","zero","zero","zero","zero","Urosalpinx cinerea"
"Anomia","Anomia","Anomia","zero","zero","Anomia","zero","zero","Anomia","zero","zero","zero"
"Crucibulum spinosum","zero","zero","zero","zero","zero","Crucibulum spinosum","zero","zero","zero","zero","zero"
"Ostrea edulis","Ostrea edulis","Ostrea edulis","zero","zero","Ostrea edulis","Ostrea edulis","zero","Ostrea edulis","Ostrea edulis","zero","Ostrea edulis"
