"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Mytilicola","5","0","0","51","0","0","0","0","0"
"Pseudodiaptomus","29","1","0","145","18","11","48","0","0"
"Argulus","43","1","7","86","250","1","0","1","1"
"Cyclops","118","50","0","126","0","5","15","0","197"
"Eurytemora","62","2","78","433","57","0","0","0","2"
"Heteropsyllus","0","0","0","13","0","0","0","0","0"
"Megacyclops","10","0","0","7","0","2","2","0","4"
"Neoergasilus","1","0","0","1","0","0","0","0","0"
"Nitokra","8","0","0","7","10","0","0","0","0"
"Oithona","68","1","10","307","3","5","4","0","0"
"Salmincola","0","0","0","3","0","0","0","0","0"
"Schizopera","0","1","0","40","5","0","0","0","1"
"Skistodiaptomus","40","40","6","49","0","42","42","0","0"
"Tachidius","1","0","0","4","0","0","0","0","0"
"Hemigrapsus","7","84","66","762","66","0","0","0","8"
"Carcinus","7","20","21","987","0","0","5","0","2"
"Callinectes","5","139","0","1202","82","0","0","0","81"
"Pachygrapsus","2","72","0","207","14","0","0","0","19"
"Scylla","6","389","2","923","21","0","7","0","55"
"Cancer","5","14","1","140","4","0","0","0","2"
"Petrolisthes","8","464","0","609","419","0","0","0","4"
"Sphaeroma","12","57","0","46","12","0","0","0","1"
"Synidotea","0","1","2","12","0","0","0","0","2"
"Ligia","5","442","80","433","110","0","0","0","95"
"Dynamenopsis","4","4","0","0","0","0","0","0","0"
"Dynoides","6","6","0","0","0","0","0","0","0"
"Joeropsis","2","1","2","2","0","0","0","0","0"
"Paranthura","1","1","0","0","0","0","0","0","0"
"Eusarsiella","1","0","0","6","0","0","0","0","0"
"Hemimysis","8","55","0","215","0","0","0","0","0"
"Nebalia","4","0","12","152","0","2","0","0","1"
"Penaeus","130","873","11","1443","528","13","39","2","222"
"Macrobrachium","214","1790","119","1823","194","60","10","0","48"
"Palaemon","108","607","2","752","36","2","25","0","43"
"Ophiactis","9","6","6","453","6","0","0","0","0"
"Glugea","2","2","0","0","0","0","0","0","0"
"Heterosporis","0","1","0","0","0","0","0","0","0"
"Sphaeromyxa","11","0","0","0","0","0","0","0","0"
"Alitta","7","5","0","90","10","0","1","0","3"
"Pseudopolydora","27","95","0","35","0","0","0","0","0"
"Tubificoides","104","67","0","238","0","1","1","0","32"
"Boccardia","55","48","0","116","0","0","0","0","0"
"Euchone","1","1","0","1","0","0","0","0","0"
"Clymenella","5","6","0","16","6","0","0","0","1"
"Sabellastarte","5","28","0","28","5","0","0","0","0"
"Janua","1","0","0","0","0","0","0","0","0"
"Perna","115","42","27","266","111","272","89","0","5"
"Ruditapes","118","165","0","667","322","20","73","0","38"
"Ceratostoma","0","14","8","32","4","0","4","0","5"
"Geukensia","5","6","0","45","59","0","0","0","2"
"Theora","0","2","0","0","0","0","0","0","0"
"Acar","3","1","0","236","0","0","0","0","0"
"Tenellia","0","85","0","92","0","0","0","0","0"
"Tritonia","5","41","15","49","6","0","0","3","2"
"Urosalpinx","0","2","0","37","0","0","0","0","2"
"Anomia","4","3","0","24","0","1","0","0","0"
"Crucibulum","4","8","0","7","3","3","4","0","1"
"Ostrea","49","345","1","203","57","19","49","0","21"
"Pinctada","177","130","0","181","19","55","69","0","25"
"Thecacera","0","3","0","3","0","0","0","0","0"
"Adula","2","0","0","12","0","0","0","0","0"
"Limnoperna","3","1","22","35","2","0","0","0","0"
"Nuttallia","4","25","0","20","2","0","1","0","2"
"Rattus","450","242","18","1508","157","0","7","0","232"
"Zalophus","5","3","0","1","1","0","0","0","15"
"Lyrodus","21","0","0","16","0","0","0","0","0"
"Arcuatula","8","3","1","75","5","1","0","0","1"
"Mytilus","135","2284","16","3019","385","3","238","1","42"
"Gemma","1","2","0","42","1","0","0","0","0"
"Mercenaria","14","21","0","166","16","3","7","0","2"
"Mytella","3","1","166","78","25","0","2","0","1"
"Chama","21","14","0","3","4","11","11","0","0"
"Lasmigona","0","9","0","24","19","0","2","2","3"
"Pisidium","69","449","0","142","24","0","0","0","0"
"Sphaerium","33","114","0","22","5","0","32","0","0"
"Tapes","6","10","0","24","0","6","6","0","0"
"Tridacna","79","675","147","2172","143","8","10","1","10"
"Venerupis","10","2","0","2","1","6","1","0","0"
"Littorina","10","36","0","1381","7","0","0","0","42"
"Rapana","2","34","30","132","3","0","5","0","8"
"Batillaria","4","36","0","261","4","0","0","0","4"
"Boonea","1","1","0","6","0","0","0","0","0"
"Busycotypus","2","1","0","2","0","0","0","0","0"
"Ocinebrellus","0","74","0","5","4","0","0","0","83"
"Myosotella","3","4","0","1","3","0","0","0","3"
"Bithynia","3","5","289","108","88","0","40","0","2"
"Cipangopaludina","14","150","1","143","13","0","0","0","8"
"Elimia","2","98","27","46","1","0","2","0","0"
"Gillia","0","1","0","0","0","0","0","0","0"
"Hermissenda","27","27","0","62","2","0","0","0","2"
"Nassarius","40","509","0","875","41","0","13","0","164"
"Philine","6","71","1","70","10","1","1","0","0"
"Physella","9","167","92","268","44","2","31","0","3"
"Pomacea","90","120","3","1432","15","1","0","0","21"
"Radix","24","31","8","905","36","185","10","0","5"
"Tarebia","0","107","1","7","96","0","0","0","1"
"Valvata","2","39","38","88","5","0","0","0","1"
"Viviparus","7","10","0","29","5","0","0","0","3"
"Cuthona","16","21","0","44","0","0","0","0","0"
"Cumanotus","0","0","0","2","0","0","0","0","0"
"Dendronotus","7","224","0","236","19","0","0","0","0"
"Eubranchus","4","41","0","58","11","0","0","0","0"
"Glossodoris","4","49","0","35","1","0","0","0","7"
"Goniodorididae","3","16","0","62","0","2","0","0","0"
"Anguillicola","124","0","532","60","0","0","0","0","0"
"Sporobolus","298","10","0","0","1","187","161","560","1"
"Zizania","5","5","0","0","0","11","8","62","0"
"Zostera","11","2","0","0","5","80","180","3","0"
"Undaria","8","7","0","4","42","34","29","4","0"
